Chester County Lacrosse Association,,,,,,,,
582,4/17/13,Wed,6:30 PM,U11B,KEN1,WC1,WC Kelly Field,KEN1WC1
190,4/17/13,Wed,8:00 PM,U11A,KEN,WC2,WC Kelly Field,KENWC2
45,4/18/13,Thu,6:30 PM,U15A,AVG,BYC,BYC Garnet Valley MS,AVGBYC
21,4/18/13,Thu,6:30 PM,U15A,ABG,GV,GV Great Valley MS,ABGGV
13,4/18/13,Thu,6:30 PM,U15A,COV,LV,LV Hoeffecker,COVLV
4,4/18/13,Thu,6:30 PM,U15A,CVL,ST,ST Wilson Park CYL,CVLST
283,4/18/13,Thu,6:30 PM,U15B,PHX,WB,WB Downingtown MS,PHXWB
28,4/18/13,Thu,6:30 PM,U15A,ASH,WC,WC Kelly Field,ASHWC
321,4/18/13,Thu,8:00 PM,U15B,LV,WC2,WC Kelly Field,LVWC2
633,4/20/13,Sat,12:00 PM,U11B,KEN2,AVG2,AVG Avon Grove HS 1,KEN2AVG2
228,4/20/13,Sat,2:00 PM,U13C,ST,AVG1,AVG Avon Grove HS 1,STAVG1
350,4/20/13,Sat,2:00 PM,U13B,CVL,COV2,COV Batdorf Park,CVLCOV2
46,4/20/13,Sat,4:00 PM,U15A,CVL,COV,COV Batdorf Park,CVLCOV
492,4/20/13,Sat,12:00 PM,U11B,LV2,CVL2,CVL Warrior Field,LV2CVL2
508,4/20/13,Sat,2:00 PM,U11B,PHX,CVL3,CVL Warrior Field,PHXCVL3
558,4/20/13,Sat,2:00 PM,U11B,GV2,GV1,GV Great Valley MS,GV2GV1
32,4/20/13,Sat,4:00 PM,U15A,ST,GV,GV Great Valley MS,STGV
602,4/20/13,Sat,12:00 PM,U11B,WB1,KEN1,KEN Kennett HS,WB1KEN1
342,4/20/13,Sat,2:00 PM,U15B,WC3,KEN,KEN Legacy Field C,WC3KEN
75,4/20/13,Sat,10:00 AM,U13A,COV,LV,LV Hoeffecker,COVLV
382,4/20/13,Sat,12:00 PM,U13B,PHX,LV2,LV Hoeffecker,PHXLV2
196,4/20/13,Sat,2:00 PM,U13C,CVL,LV1,LV Hoeffecker,CVLLV1
547,4/20/13,Sat,4:00 PM,U11B,ABG3,LV3,LV Hoeffecker,ABG3LV3
260,4/20/13,Sat,4:00 PM,U15B,CVL,PHX,PHX PMYC,CVLPHX
310,4/20/13,Sat,12:00 PM,U15B,GV,ST,ST Wilson Park CYL,GVST
168,4/20/13,Sat,12:00 PM,U11A,WC1,UNV,UNV Patton MS 17,WC1UNV
586,4/20/13,Sat,2:00 PM,U11B,WC1,UNV,UNV Patton MS 17,WC1UNV
448,4/20/13,Sat,2:00 PM,U13B,AVG2,UNV,UNV Upland Country DS,AVG2UNV
434,4/20/13,Sat,2:00 PM,U13B,AVG1,WB1,WB Embreeville,AVG1WB1
334,4/20/13,Sat,10:00 AM,U15B,WC1,WC2,WC Kelly Field,WC1WC2
635,4/20/13,Sat,12:00 PM,U11B,CVL1,WC2,WC Kelly Field,CVL1WC2
37,4/20/13,Sat,2:00 PM,U15A,LV,WC,WC Kelly Field,LVWC
117,4/20/13,Sat,4:00 PM,U13A,UNV1,WC,WC Kelly Field,UNV1WC
404,4/20/13,Sat,12:00 PM,U13B,WC3,WC2,WC Rustin HS Stadium,WC3WC2
149,4/20/13,Sat,2:00 PM,U11A,ASH,WC2,WC Rustin HS Stadium,ASHWC2
251,4/20/13,Sat,4:00 PM,U13C,AVG2,WC,WC Rustin HS Stadium,AVG2WC
145,4/21/13,Sun,12:00 PM,U11A,KEN,ABG,ABG Huntingdon Lower N,KENABG
294,4/21/13,Sun,2:00 PM,U15B,WB,ABG,ABG Huntingdon Lower N,WBABG
511,4/21/13,Sun,4:00 PM,U11B,COV1,ABG3,ABG Huntingdon Lower N,COV1ABG3
527,4/21/13,Sun,2:00 PM,U11B,PHX,ABG1,ABG Huntingdon Lower S,PHXABG1
90,4/21/13,Sun,4:00 PM,U13A,AVG,ABG,ABG Huntingdon Lower S,AVGABG
208,4/21/13,Sun,2:00 PM,U13C,GV,ABG,ABG Huntingdon Upper,GVABG
24,4/21/13,Sun,4:00 PM,U15A,AVG,ABG,ABG Huntingdon Upper,AVGABG
476,4/21/13,Sun,2:00 PM,U13B,ABG,BYC1,BYC Garnet Valley MS,ABGBYC1
275,4/21/13,Sun,4:00 PM,U15B,ASH,COV,COV OJR HS,ASHCOV
541,4/21/13,Sun,2:00 PM,U11B,ABG2,LV3,LV Eagleview 1,ABG2LV3
292,4/22/13,Mon,6:30 PM,U15B,WC2,ABG,ABG Huntingdon Lower N,WC2ABG
218,4/22/13,Mon,6:30 PM,U13C,WC,ASH,ASH Lower Merion HS,WCASH
253,4/22/13,Mon,6:30 PM,U13C,AVG1,BYC,BYC Garnet Valley MS,AVG1BYC
238,4/22/13,Mon,6:30 PM,U13C,GV,LV2,LV Pine Creek 1,GVLV2
394,4/22/13,Mon,6:30 PM,U13B,ST2,ST1,ST TE Middle Sch 2,ST2ST1
432,4/22/13,Mon,6:30 PM,U13B,WB1,UNV,UNV Patton MS 17,WB1UNV
472,4/22/13,Mon,6:30 PM,U13B,CVL,WC4,WC Kelly Field,CVLWC4
328,4/22/13,Mon,8:00 PM,U15B,GV,WC3,WC Kelly Field,GVWC3
86,4/23/13,Tue,6:30 PM,U13A,WC,ABG,ABG Huntingdon Lower N,WCABG
386,4/23/13,Tue,6:30 PM,U13B,LV1,ABG,ABG Huntingdon Lower S,LV1ABG
93,4/23/13,Tue,6:30 PM,U13A,GV,ASH,ASH Lower Merion HS,GVASH
442,4/23/13,Tue,6:30 PM,U13B,WB2,AVG2,AVG Avon Grove HS 1,WB2AVG2
258,4/23/13,Tue,6:30 PM,U13C,KEN,AVG2,AVG Harmony Park,KENAVG2
70,4/23/13,Tue,6:30 PM,U13A,CVL,BYC,BYC Garnet Valley MS,CVLBYC
74,4/23/13,Tue,7:00 PM,U13A,ST,COV,COV OJR HS,STCOV
452,4/23/13,Tue,6:30 PM,U13B,BYC1,KEN,KEN Legacy Field B,BYC1KEN
205,4/23/13,Tue,6:30 PM,U13C,ABG,ST,ST TE Middle Sch 1,ABGST
460,4/23/13,Tue,6:30 PM,U13B,COV1,WC3,WC Kelly Field,COV1WC3
403,4/23/13,Tue,8:00 PM,U13B,LV2,WC1,WC Kelly Field,LV2WC1
470,4/23/13,Tue,6:30 PM,U13B,COV2,WC2,WC Rustin HS Grass,COV2WC2
139,4/24/13,Wed,6:30 PM,U11A,LV,ABG,ABG Huntingdon Lower N,LVABG
535,4/24/13,Wed,6:30 PM,U11B,ABG1,ABG2,ABG Huntingdon Lower S,ABG1ABG2
629,4/24/13,Wed,6:30 PM,U11B,AVG1,AVG2,AVG Harmony Park,AVG1AVG2
619,4/24/13,Wed,6:30 PM,U11B,BYC2,BYC1,BYC Concord Municipal 2,BYC2BYC1
515,4/24/13,Wed,6:30 PM,U11B,LV3,COV1,COV Batdorf Park,LV3COV1
129,4/24/13,Wed,6:30 PM,U11A,ST,CVL,CVL Mt Kirk,STCVL
499,4/24/13,Wed,6:30 PM,U11B,ABG3,CVL2,CVL Warrior Field,ABG3CVL2
571,4/24/13,Wed,6:30 PM,U11B,WC1,GV2,GV Great Valley MS,WC1GV2
180,4/24/13,Wed,6:30 PM,U11A,BYC,KEN,KEN Legacy Field B,BYCKEN
550,4/24/13,Wed,6:30 PM,U11B,ASH,LV1,LV Eagleview 1,ASHLV1
647,4/24/13,Wed,6:30 PM,U11B,BYC3,LV2,LV Eagleview 2,BYC3LV2
523,4/24/13,Wed,6:30 PM,U11B,COV2,ST,ST TE Middle Sch 1,COV2ST
561,4/24/13,Wed,6:30 PM,U11B,GV1,WB1,WB Embreeville,GV1WB1
592,4/24/13,Wed,6:30 PM,U11B,KEN2,WC2,WC Kelly Field,KEN2WC2
167,4/24/13,Wed,8:00 PM,U11A,WC2,WC1,WC Kelly Field,WC2WC1
22,4/25/13,Thu,6:30 PM,U15A,WC,ABG,ABG Huntingdon Lower N,WCABG
348,4/25/13,Thu,6:30 PM,U15B,KEN,AVG,AVG Avon Grove HS 1,KENAVG
12,4/25/13,Thu,7:00 PM,U15A,ST,COV,COV OJR HS,STCOV
6,4/25/13,Thu,6:30 PM,U15A,CVL,GV,GV Great Valley MS,CVLGV
314,4/25/13,Thu,6:30 PM,U15B,WB,ST,ST Wilson Park CYL,WBST
291,4/25/13,Thu,6:30 PM,U15B,PHX,WC1,WC Kelly Field,PHXWC1
307,4/26/13,Fri,6:30 PM,U15B,KEN,ASH,ASH Lower Merion HS,KENASH
509,4/27/13,Sat,12:00 PM,U11B,CVL3,ABG1,ABG Huntingdon Lower S,CVL3ABG1
581,4/27/13,Sat,10:00 AM,U11B,WC1,AVG2,AVG Avon Grove HS 1,WC1AVG2
630,4/27/13,Sat,12:00 PM,U11B,KEN1,AVG1,AVG Avon Grove HS 1,KEN1AVG1
250,4/27/13,Sat,2:00 PM,U13C,WC,AVG1,AVG Avon Grove HS 1,WCAVG1
577,4/27/13,Sat,12:00 PM,U11B,GV2,BYC1,BYC Concord Municipal 2,GV2BYC1
126,4/27/13,Sat,2:00 PM,U13A,AVG,BYC,BYC Garnet Valley MS,AVGBYC
451,4/27/13,Sat,4:00 PM,U13B,AVG2,BYC1,BYC Garnet Valley MS,AVG2BYC1
513,4/27/13,Sat,2:00 PM,U11B,ST,COV1,COV OJR HS,STCOV1
9,4/27/13,Sat,10:00 AM,U15A,AVG,CVL,CVL Black Rock 6,AVGCVL
61,4/27/13,Sat,12:00 PM,U13A,COV,CVL,CVL Black Rock 6,COVCVL
267,4/27/13,Sat,2:00 PM,U15B,WC2,CVL,CVL Black Rock 6,WC2CVL
495,4/27/13,Sat,10:00 AM,U11B,COV2,CVL2,CVL Warrior Field,COV2CVL2
197,4/27/13,Sat,12:00 PM,U13C,LV2,CVL,CVL Warrior Field,LV2CVL
491,4/27/13,Sat,2:00 PM,U11B,LV1,CVL1,CVL Warrior Field,LV1CVL1
566,4/27/13,Sat,12:15 PM,U11B,BYC3,GV1,GV Great Valley MS,BYC3GV1
112,4/27/13,Sat,2:00 PM,U13A,WC,GV,GV Great Valley MS,WCGV
40,4/27/13,Sat,4:00 PM,U15A,WC,GV,GV Great Valley MS,WCGV
480,4/27/13,Sat,12:00 PM,U13B,LV2,KEN,KEN Legacy Field C,LV2KEN
136,4/27/13,Sat,2:00 PM,U11A,CVL,KEN,KEN Legacy Field C,CVLKEN
108,4/27/13,Sat,10:00 AM,U13A,UNV1,LV,LV Hoeffecker,UNV1LV
38,4/27/13,Sat,12:00 PM,U15A,BYC,LV,LV Hoeffecker,BYCLV
467,4/27/13,Sat,2:00 PM,U13B,AVG1,LV1,LV Hoeffecker,AVG1LV1
322,4/27/13,Sat,4:00 PM,U15B,BYC,LV,LV Hoeffecker,BYCLV
290,4/27/13,Sat,10:00 AM,U15B,GV,PHX,PHX PMYC,GVPHX
526,4/27/13,Sat,12:00 PM,U11B,LV3,PHX,PHX PMYC,LV3PHX
381,4/27/13,Sat,2:00 PM,U13B,WC1,PHX,PHX PMYC,WC1PHX
25,4/27/13,Sat,TBD,U15A,ST,ASH,Radnor HS Samson Festival,STASH
91,4/27/13,Sat,TBD,U13A,ST,ASH,Radnor HS Samson Festival,STASH
225,4/27/13,Sat,10:00 AM,U13C,GV,ST,ST TE Middle Sch 2,GVST
371,4/27/13,Sat,12:00 PM,U13B,COV2,ST1,ST TE Middle Sch 2,COV2ST1
365,4/27/13,Sat,2:00 PM,U13B,COV1,ST2,ST TE Middle Sch 2,COV1ST2
316,4/27/13,Sat,2:00 PM,U15B,AVG,ST,ST Wilson Park TEYSA,AVGST
188,4/27/13,Sat,4:00 PM,U11A,LV,UNV,UNV Patton MS 17,LVUNV
345,4/27/13,Sat,4:00 PM,U15B,KEN,WB,WB Downingtown MS,KENWB
416,4/27/13,Sat,2:00 PM,U13B,WC3,WB1,WB Embreeville,WC3WB1
594,4/27/13,Sat,10:00 AM,U11B,UNV,WC2,WC Kelly Field,UNVWC2
174,4/27/13,Sat,12:00 PM,U11A,AVG,WC2,WC Kelly Field,AVGWC2
155,4/27/13,Sat,2:00 PM,U11A,ST,WC1,WC Kelly Field,STWC1
405,4/27/13,Sat,4:00 PM,U13B,WC2,WC4,WC Kelly Field,WC2WC4
643,4/28/13,Sun,12:00 PM,U11B,WB2,ABG3,ABG Huntingdon Lower N,WB2ABG3
463,4/28/13,Sun,2:00 PM,U13B,WB2,ABG,ABG Huntingdon Lower N,WB2ABG
274,4/28/13,Sun,4:00 PM,U15B,COV,ABG,ABG Huntingdon Lower N,COVABG
210,4/28/13,Sun,4:00 PM,U13C,BYC,ABG,ABG Huntingdon Lower S,BYCABG
143,4/28/13,Sun,12:00 PM,U11A,BYC,ABG,ABG Huntingdon Upper,BYCABG
540,4/28/13,Sun,4:00 PM,U11B,LV2,ABG2,ABG Huntingdon Upper,LV2ABG2
111,4/28/13,Sun,4:00 PM,U13A,LV,AVG,AVG Harmony Park,LVAVG
435,4/28/13,Sun,12:00 PM,U13B,WB1,BYC2,BYC Garnet Valley MS,WB1BYC2
23,4/28/13,Sun,2:00 PM,U15A,ABG,BYC,BYC Garnet Valley MS,ABGBYC
522,4/28/13,Sun,4:00 PM,U11B,ASH,COV2,COV OJR HS,ASHCOV2
206,4/29/13,Mon,6:30 PM,U13C,LV1,ABG,ABG Huntingdon Lower N,LV1ABG
477,4/29/13,Mon,6:30 PM,U13B,BYC2,ASH,ASH Lower Merion HS,BYC2ASH
374,4/29/13,Mon,7:00 PM,U13B,LV2,COV2,COV OJR HS,LV2COV2
198,4/29/13,Mon,6:30 PM,U13C,CVL,GV,GV Great Valley MS,CVLGV
257,4/29/13,Mon,6:30 PM,U13C,AVG1,KEN,KEN Kennett HS,AVG1KEN
474,4/29/13,Mon,6:30 PM,U13B,ST1,WB2,WB Embreeville,ST1WB2
469,4/29/13,Mon,6:30 PM,U13B,KEN,WC1,WC Kelly Field,KENWC1
352,4/30/13,Tue,6:30 PM,U13B,CVL,ABG,ABG Huntingdon Lower S,CVLABG
456,4/30/13,Tue,6:30 PM,U13B,AVG1,AVG2,AVG Avon Grove HS 1,AVG1AVG2
254,4/30/13,Tue,6:30 PM,U13C,BYC,AVG2,AVG Harmony Park,BYCAVG2
122,4/30/13,Tue,6:30 PM,U13A,UNV1,BYC,BYC Garnet Valley MS,UNV1BYC
66,4/30/13,Tue,6:30 PM,U13A,CVL,GV,GV Great Valley MS,CVLGV
379,4/30/13,Tue,6:30 PM,U13B,LV1,PHX,PHX PMYC,LV1PHX
83,4/30/13,Tue,6:30 PM,U13A,ABG,ST,ST Wilson Park TEYSA,ABGST
433,4/30/13,Tue,6:30 PM,U13B,BYC1,WB1,WB Embreeville,BYC1WB1
425,4/30/13,Tue,6:30 PM,U13B,UNV,WC4,WC Kelly Field,UNVWC4
77,4/30/13,Tue,8:00 PM,U13A,COV,WC,WC Kelly Field,COVWC
148,5/1/13,Wed,6:30 PM,U11A,WC1,ASH,ASH Lower Merion HS,WC1ASH
181,5/1/13,Wed,6:30 PM,U11A,KEN,AVG,AVG Harmony Park,KENAVG
622,5/1/13,Wed,6:30 PM,U11B,AVG2,BYC2,BYC Bethel Spr ES 12,AVG2BYC2
589,5/1/13,Wed,6:30 PM,U11B,WC2,BYC3,BYC Concord Municipal 2,WC2BYC3
484,5/1/13,Wed,7:00 PM,U11B,CVL1,COV2,COV OJR HS,CVL1COV2
503,5/1/13,Wed,6:30 PM,U11B,LV3,CVL3,CVL Warrior Field,LV3CVL3
564,5/1/13,Wed,6:30 PM,U11B,BYC1,GV1,GV Great Valley MS,BYC1GV1
610,5/1/13,Wed,6:30 PM,U11B,UNV,KEN1,KEN Legacy Field B,UNVKEN1
552,5/1/13,Wed,6:30 PM,U11B,ST,LV1,LV Eagleview 2,STLV1
498,5/1/13,Wed,6:30 PM,U11B,CVL2,PHX,PHX PMYC,CVL2PHX
138,5/1/13,Wed,6:30 PM,U11A,ABG,ST,ST TE Middle Sch 2,ABGST
176,5/1/13,Wed,6:30 PM,U11A,BYC,UNV,UNV Patton MS 17,BYCUNV
575,5/1/13,Wed,6:30 PM,U11B,GV2,WB2,WB Embreeville,GV2WB2
132,5/1/13,Wed,6:30 PM,U11A,CVL,WC2,WC Kelly Field,CVLWC2
584,5/1/13,Wed,8:00 PM,U11B,WB1,WC1,WC Kelly Field,WB1WC1
29,5/2/13,Thu,6:30 PM,U15A,BYC,ASH,ASH Haverford Upper,BYCASH
262,5/2/13,Thu,6:30 PM,U15B,CVL,ASH,ASH Lower Merion HS,CVLASH
42,5/2/13,Thu,6:30 PM,U15A,AVG,GV,GV Great Valley MS,AVGGV
347,5/2/13,Thu,6:30 PM,U15B,BYC,KEN,KEN Legacy Field B,BYCKEN
289,5/2/13,Thu,6:30 PM,U15B,PHX,LV,LV Pine Creek 1,PHXLV
276,5/2/13,Thu,6:30 PM,U15B,COV,ST,ST Wilson Park CYL,COVST
19,5/2/13,Thu,6:30 PM,U15A,ABG,ST,ST Wilson Park TEYSA,ABGST
15,5/2/13,Thu,6:30 PM,U15A,COV,WC,WC Kelly Field,COVWC
384,5/4/13,Sat,12:00 PM,U13B,ST1,ABG,ABG Huntingdon Upper,ST1ABG
202,5/4/13,Sat,9:00 AM,U13C,CVL,AVG2,AVG Avon Grove HS 1,CVLAVG2
437,5/4/13,Sat,11:00 AM,U13B,WB1,AVG2,AVG Avon Grove HS 1,WB1AVG2
211,5/4/13,Sat,1:00 PM,U13C,ABG,AVG1,AVG Avon Grove HS 1,ABGAVG1
450,5/4/13,Sat,9:00 AM,U13B,BYC1,AVG1,AVG Avon Grove HS 2,BYC1AVG1
591,5/4/13,Sat,11:00 AM,U11B,WC2,AVG2,AVG Avon Grove HS 2,WC2AVG2
641,5/4/13,Sat,1:00 PM,U11B,ABG1,AVG1,AVG Avon Grove HS 2,ABG1AVG1
144,5/4/13,Sat,3:00 PM,U11A,ABG,AVG,AVG Avon Grove HS 2,ABGAVG
81,5/4/13,Sat,9:00 AM,U13A,COV,AVG,AVG Avon Grove HS Stadium,COVAVG
30,5/4/13,Sat,11:00 AM,U15A,ASH,AVG,AVG Avon Grove HS Stadium,ASHAVG
308,5/4/13,Sat,1:00 PM,U15B,ASH,AVG,AVG Avon Grove HS Stadium,ASHAVG
245,5/4/13,Sat,4:00 PM,U13C,GV,BYC,BYC Concord Municipal 1,GVBYC
164,5/4/13,Sat,12:00 PM,U11A,LV,BYC,BYC Concord Municipal 2,LVBYC
620,5/4/13,Sat,2:00 PM,U11B,BYC1,BYC3,BYC Concord Municipal 2,BYC1BYC3
8,5/4/13,Sat,10:00 AM,U15A,CVL,BYC,BYC Garnet Valley MS,CVLBYC
370,5/4/13,Sat,4:00 PM,U13B,ASH,COV2,COV OJR HS,ASHCOV2
65,5/4/13,Sat,10:00 AM,U13A,LV,CVL,CVL Black Rock 6,LVCVL
349,5/4/13,Sat,12:00 PM,U13B,COV1,CVL,CVL Black Rock 6,COV1CVL
489,5/4/13,Sat,12:00 PM,U11B,ASH,CVL1,CVL Warrior Field,ASHCVL1
133,5/4/13,Sat,2:00 PM,U11A,UNV,CVL,CVL Warrior Field,UNVCVL
501,5/4/13,Sat,4:00 PM,U11B,ST,CVL2,CVL Warrior Field,STCVL2
57,5/4/13,Sat,2:00 PM,U15A,LV,GV,GV Great Valley MS,LVGV
576,5/4/13,Sat,4:00 PM,U11B,BYC2,GV2,GV Great Valley MS,BYC2GV2
272,5/4/13,Sat,10:00 AM,U15B,COV,KEN,KEN Legacy Field C,COVKEN
634,5/4/13,Sat,12:00 PM,U11B,KEN1,KEN2,KEN Legacy Field C,KEN1KEN2
175,5/4/13,Sat,2:00 PM,U11A,WC2,KEN,KEN Legacy Field C,WC2KEN
546,5/4/13,Sat,12:00 PM,U11B,ABG3,LV2,LV Eagleview 1,ABG3LV2
504,5/4/13,Sat,2:00 PM,U11B,CVL3,LV1,LV Eagleview 2,CVL3LV1
215,5/4/13,Sat,12:00 PM,U13C,ASH,LV1,LV Pine Creek 1,ASHLV1
320,5/4/13,Sat,2:00 PM,U15B,WC3,LV,LV Pine Creek 1,WC3LV
224,5/4/13,Sat,4:00 PM,U13C,ST,LV2,LV Pine Creek 1,STLV2
528,5/4/13,Sat,10:00 AM,U11B,ABG2,PHX,PHX PMYC,ABG2PHX
399,5/4/13,Sat,12:00 PM,U13B,WC1,ST2,ST TE Middle Sch 2,WC1ST2
312,5/4/13,Sat,2:00 PM,U15B,WC2,ST,ST Wilson Park TEYSA,WC2ST
563,5/4/13,Sat,2:00 PM,U11B,GV1,UNV,UNV Patton MS 17,GV1UNV
446,5/4/13,Sat,4:00 PM,U13B,BYC2,UNV,UNV Patton MS 17,BYC2UNV
102,5/4/13,Sat,4:00 PM,U13A,ST,UNV1,UNV Upland Country DS,STUNV1
343,5/4/13,Sat,12:00 PM,U15B,BYC,WB,WB Downingtown MS,BYCWB
407,5/4/13,Sat,10:00 AM,U13B,WC2,WB2,WB Embreeville,WC2WB2
56,5/4/13,Sat,10:00 AM,U15A,ST,WC,WC Kelly Field,STWC
326,5/4/13,Sat,12:00 PM,U15B,GV,WC1,WC Kelly Field,GVWC1
585,5/4/13,Sat,2:00 PM,U11B,WB2,WC1,WC Kelly Field,WB2WC1
414,5/4/13,Sat,4:00 PM,U13B,WC4,WC3,WC Kelly Field,WC4WC3
296,5/5/13,Sun,12:00 PM,U15B,AVG,ABG,ABG Huntingdon Upper,AVGABG
