Chester County Lacrosse Association,,,,,,,,
73,5/5/13,Sun,12:00 PM,U13A,COV,ASH,ASH Lower Merion HS,COVASH
222,5/5/13,Sun,2:00 PM,U13C,KEN,ASH,ASH Lower Merion HS,KENASH
152,5/5/13,Sun,4:00 PM,U11A,AVG,ASH,ASH Lower Merion HS,AVGASH
89,5/5/13,Sun,12:00 PM,U13A,ABG,BYC,BYC Garnet Valley MS,ABGBYC
10,5/5/13,Sun,12:00 PM,U15A,ABG,COV,COV OJR HS,ABGCOV
517,5/5/13,Sun,2:00 PM,U11B,ABG1,COV1,COV OJR HS,ABG1COV1
519,5/5/13,Sun,4:00 PM,U11B,ABG3,COV2,COV OJR HS,ABG3COV2
 ,5/5/13,Sun,3:00 PM,U13 CCLA,ALL STAR,TRYOUTS,GV Great Valley HS, 
 ,5/5/13,Sun,5:30 PM,U15 CCLA,ALL STAR,TRYOUTS,GV Great Valley HS, 
300,5/6/13,Mon,6:30 PM,U15B,LV,ABG,ABG Huntingdon Lower N,LVABG
303,5/6/13,Mon,6:30 PM,U15B,WC3,ASH,ASH Lower Merion HS,WC3ASH
255,5/6/13,Mon,6:30 PM,U13C,KEN,BYC,BYC Bethel Spr ES 12,KENBYC
330,5/6/13,Mon,6:30 PM,U15B,WC1,BYC,BYC Garnet Valley MS,WC1BYC
473,5/6/13,Mon,7:00 PM,U13B,WB1,COV1,COV OJR HS,WB1COV1
329,5/6/13,Mon,6:30 PM,U15B,WB,GV,GV Great Valley MS,WBGV
413,5/6/13,Mon,6:30 PM,U13B,WC2,KEN,KEN Kennett HS,WC2KEN
465,5/6/13,Mon,6:30 PM,U13B,BYC1,ST1,ST TE Middle Sch 1,BYC1ST1
223,5/6/13,Mon,6:30 PM,U13C,LV1,ST,ST TE Middle Sch 2,LV1ST
338,5/6/13,Mon,6:30 PM,U15B,KEN,WC2,WC Kelly Field,KENWC2
204,5/7/13,Tue,6:30 PM,U13C,ASH,ABG,ABG Huntingdon Lower N,ASHABG
377,5/7/13,Tue,6:30 PM,U13B,PHX,ASH,ASH Lower Merion HS,PHXASH
422,5/7/13,Tue,6:30 PM,U13B,WC3,AVG2,AVG Avon Grove HS 1,WC3AVG2
466,5/7/13,Tue,6:30 PM,U13B,ST2,BYC2,BYC Garnet Valley MS,ST2BYC2
76,5/7/13,Tue,7:00 PM,U13A,GV,COV,COV OJR HS,GVCOV
357,5/7/13,Tue,6:30 PM,U13B,LV2,CVL,CVL Black Rock 6,LV2CVL
67,5/7/13,Tue,6:30 PM,U13A,WC,CVL,CVL Mt Kirk,WCCVL
373,5/7/13,Tue,6:30 PM,U13B,COV2,LV1,LV Lionville MS,COV2LV1
544,5/8/13,Wed,6:30 PM,U11B,ST,ABG3,ABG Huntingdon Lower S,STABG3
600,5/8/13,Wed,6:30 PM,U11B,WB1,AVG1,AVG Harmony Park,WB1AVG1
628,5/8/13,Wed,6:30 PM,U11B,KEN2,BYC3,BYC Bethel Spr ES 12,KEN2BYC3
151,5/8/13,Wed,6:30 PM,U11A,ASH,BYC,BYC Concord Municipal 2,ASHBYC
496,5/8/13,Wed,7:00 PM,U11B,CVL2,COV1,COV OJR HS,CVL2COV1
127,5/8/13,Wed,6:30 PM,U11A,ABG,CVL,CVL Mt Kirk,ABGCVL
505,5/8/13,Wed,6:30 PM,U11B,LV2,CVL3,CVL Warrior Field,LV2CVL3
562,5/8/13,Wed,6:30 PM,U11B,WB2,GV1,GV Great Valley MS,WB2GV1
556,5/8/13,Wed,6:30 PM,U11B,LV3,LV1,LV Eagleview 1,LV3LV1
163,5/8/13,Wed,6:30 PM,U11A,UNV,LV,LV Eagleview 2,UNVLV
613,5/8/13,Wed,6:30 PM,U11B,BYC2,UNV,UNV Patton MS 17,BYC2UNV
587,5/8/13,Wed,6:30 PM,U11B,BYC1,WC1,WC Kelly Field,BYC1WC1
573,5/8/13,Wed,8:00 PM,U11B,GV2,WC2,WC Kelly Field,GV2WC2
20,5/9/13,Thu,6:30 PM,U15A,LV,ABG,ABG Huntingdon Lower S,LVABG
47,5/9/13,Thu,6:30 PM,U15A,CVL,ASH,ASH Haverford Upper,CVLASH
59,5/9/13,Thu,6:30 PM,U15A,WC,BYC,BYC Garnet Valley MS,WCBYC
259,5/9/13,Thu,6:30 PM,U15B,COV,CVL,CVL Mt Kirk,COVCVL
49,5/9/13,Thu,6:30 PM,U15A,COV,ST,ST Wilson Park CYL,COVST
189,5/9/13,Thu,6:30 PM,U11A,AVG,WC1,WC Kelly Field,AVGWC1
141,5/11/13,Sat,12:00 PM,U11A,WC2,ABG,ABG Huntingdon Upper,WC2ABG
216,5/11/13,Sat,10:00 AM,U13C,LV2,ASH,ASH Lower Merion HS,LV2ASH
363,5/11/13,Sat,12:00 PM,U13B,COV1,ASH,ASH Lower Merion HS,COV1ASH
543,5/11/13,Sat,2:00 PM,U11B,ABG2,ASH,ASH Lower Merion HS,ABG2ASH
39,5/11/13,Sat,10:00 AM,U15A,LV,AVG,AVG Avon Grove HS 1,LVAVG
627,5/11/13,Sat,12:00 PM,U11B,BYC3,AVG2,AVG Avon Grove HS 1,BYC3AVG2
285,5/11/13,Sat,10:00 AM,U15B,PHX,AVG,AVG Avon Grove HS 2,PHXAVG
608,5/11/13,Sat,12:00 PM,U11B,WB2,AVG1,AVG Avon Grove HS 2,WB2AVG1
256,5/11/13,Sat,2:00 PM,U13C,AVG2,AVG1,AVG Avon Grove HS 2,AVG2AVG1
640,5/11/13,Sat,10:00 AM,U11B,PHX,BYC2,BYC Concord Municipal 2,PHXBYC2
179,5/11/13,Sat,12:00 PM,U11A,AVG,BYC,BYC Concord Municipal 2,AVGBYC
340,5/11/13,Sat,2:00 PM,U15B,WC3,BYC,BYC Garnet Valley MS,WC3BYC
53,5/11/13,Sat,4:00 PM,U15A,ASH,BYC,BYC Garnet Valley MS,ASHBYC
369,5/11/13,Sat,2:00 PM,U13B,ABG,COV2,COV Batdorf Park,ABGCOV2
72,5/11/13,Sat,4:00 PM,U13A,ABG,COV,COV Batdorf Park,ABGCOV
639,5/11/13,Sat,12:00 PM,U11B,GV2,COV2,COV OJR HS,GV2COV2
279,5/11/13,Sat,2:00 PM,U15B,WC1,COV,COV OJR HS,WC1COV
14,5/11/13,Sat,4:00 PM,U15A,GV,COV,COV OJR HS,GVCOV
199,5/11/13,Sat,10:00 AM,U13C,WC,CVL,CVL Warrior Field,WCCVL
482,5/11/13,Sat,12:00 PM,U11B,CVL1,CVL3,CVL Warrior Field,CVL1CVL3
497,5/11/13,Sat,2:00 PM,U11B,ABG1,CVL2,CVL Warrior Field,ABG1CVL2
131,5/11/13,Sat,4:00 PM,U11A,WC1,CVL,CVL Warrior Field,WC1CVL
327,5/11/13,Sat,12:15 PM,U15B,WC2,GV,GV Great Valley MS,WC2GV
618,5/11/13,Sat,12:00 PM,U11B,BYC1,KEN2,KEN Legacy Field C,BYC1KEN2
557,5/11/13,Sat,12:00 PM,U11B,LV2,LV3,LV Eagleview 2,LV2LV3
264,5/11/13,Sat,10:00 AM,U15B,CVL,LV,LV Pine Creek 2,CVLLV
645,5/11/13,Sat,10:00 AM,U11B,UNV,ST,ST TE Middle Sch 1,UNVST
227,5/11/13,Sat,12:00 PM,U13C,BYC,ST,ST TE Middle Sch 2,BYCST
154,5/11/13,Sat,2:00 PM,U11A,LV,ST,ST TE Middle Sch 2,LVST
101,5/11/13,Sat,12:00 PM,U13A,WC,ST,ST Wilson Park TEYSA,WCST
178,5/11/13,Sat,2:00 PM,U11A,KEN,UNV,UNV Patton MS 17,KENUNV
418,5/11/13,Sat,4:00 PM,U13B,WC3,UNV,UNV Patton MS 17,WC3UNV
123,5/11/13,Sat,2:00 PM,U13A,AVG,UNV1,UNV Upland Country DS,AVGUNV1
306,5/11/13,Sat,4:00 PM,U15B,ASH,WB,WB Downingtown MS,ASHWB
462,5/11/13,Sat,10:00 AM,U13B,PHX,WB1,WB Embreeville,PHXWB1
441,5/11/13,Sat,12:00 PM,U13B,AVG1,WB2,WB Embreeville,AVG1WB2
595,5/11/13,Sat,2:00 PM,U11B,WC2,WB1,WB Embreeville,WC2WB1
429,5/11/13,Sat,10:00 AM,U13B,AVG2,WC4,WC Kelly Field,AVG2WC4
397,5/11/13,Sat,12:00 PM,U13B,ST1,WC1,WC Kelly Field,ST1WC1
410,5/11/13,Sat,2:00 PM,U13B,BYC2,WC2,WC Kelly Field,BYC2WC2
51,5/11/13,Sat,4:00 PM,U15A,ABG,WC,WC Kelly Field,ABGWC
393,5/13/13,Mon,6:30 PM,U13B,LV2,ASH,ASH Lower Merion HS,LV2ASH
457,5/13/13,Mon,6:30 PM,U13B,KEN,AVG1,AVG Harmony Park,KENAVG1
281,5/13/13,Mon,7:00 PM,U15B,WC3,COV,COV OJR HS,WC3COV
263,5/13/13,Mon,6:30 PM,U15B,ST,CVL,CVL Mt Kirk,STCVL
244,5/13/13,Mon,6:30 PM,U13C,WC,GV,GV Great Valley MS,WCGV
231,5/13/13,Mon,6:30 PM,U13C,LV2,LV1,LV Pine Creek 1,LV2LV1
385,5/13/13,Mon,6:30 PM,U13B,ABG,ST2,ST TE Middle Sch 2,ABGST2
84,5/14/13,Tue,6:30 PM,U13A,LV,ABG,ABG Huntingdon Lower S,LVABG
95,5/14/13,Tue,6:30 PM,U13A,UNV1,ASH,ASH Lower Merion HS,UNV1ASH
120,5/14/13,Tue,6:30 PM,U13A,WC,AVG,AVG Avon Grove HS 1,WCAVG
440,5/14/13,Tue,6:30 PM,U13B,WB2,BYC2,BYC Garnet Valley MS,WB2BYC2
362,5/14/13,Tue,7:00 PM,U13B,ST1,COV1,COV OJR HS,ST1COV1
351,5/14/13,Tue,6:30 PM,U13B,PHX,CVL,CVL Mt Kirk,PHXCVL
230,5/14/13,Tue,6:30 PM,U13C,ST,KEN,KEN Legacy Field B,STKEN
402,5/14/13,Tue,6:30 PM,U13B,WC1,LV1,LV Lionville MS,WC1LV1
64,5/14/13,Tue,6:30 PM,U13A,CVL,ST,ST Wilson Park CYL,CVLST
408,5/14/13,Tue,6:30 PM,U13B,UNV,WC2,WC Kelly Field,UNVWC2
500,5/15/13,Wed,6:30 PM,U11B,CVL2,ABG2,ABG Huntingdon Lower N,CVL2ABG2
536,5/15/13,Wed,6:30 PM,U11B,ABG3,ABG1,ABG Huntingdon Lower S,ABG3ABG1
146,5/15/13,Wed,6:30 PM,U11A,ST,ASH,ASH Lower Merion HS,STASH
170,5/15/13,Wed,6:30 PM,U11A,WC1,AVG,AVG Harmony Park,WC1AVG
626,5/15/13,Wed,6:30 PM,U11B,KEN1,BYC3,BYC Bethel Spr ES 12,KEN1BYC3
518,5/15/13,Wed,7:00 PM,U11B,COV1,COV2,COV OJR HS,COV1COV2
572,5/15/13,Wed,6:30 PM,U11B,WB1,GV2,GV Great Valley MS,WB1GV2
646,5/15/13,Wed,6:30 PM,U11B,LV1,KEN2,KEN Legacy Field B,LV1KEN2
648,5/15/13,Wed,6:30 PM,U11B,AVG2,LV3,LV Eagleview 2,AVG2LV3
490,5/15/13,Wed,6:30 PM,U11B,CVL1,ST,ST TE Middle Sch 2,CVL1ST
605,5/15/13,Wed,6:30 PM,U11B,BYC1,WB2,WB Embreeville,BYC1WB2
583,5/15/13,Wed,6:30 PM,U11B,WC1,WC2,WC Kelly Field,WC1WC2
52,5/16/13,Thu,6:30 PM,U15A,GV,ABG,ABG Huntingdon Lower N,GVABG
298,5/16/13,Thu,6:30 PM,U15B,ASH,ABG,ABG Huntingdon Lower S,ASHABG
60,5/16/13,Thu,6:30 PM,U15A,BYC,AVG,AVG Avon Grove HS 1,BYCAVG
284,5/16/13,Thu,6:30 PM,U15B,KEN,PHX,PHX PMYC,KENPHX
323,5/16/13,Thu,6:30 PM,U15B,LV,WB,WB Downingtown MS,LVWB
331,5/16/13,Thu,6:30 PM,U15B,AVG,WC1,WC Kelly Field,AVGWC1
336,5/16/13,Thu,8:00 PM,U15B,BYC,WC2,WC Kelly Field,BYCWC2
220,5/17/13,Fri,6:30 PM,U13C,AVG1,ASH,ASH Lower Merion HS,AVG1ASH
529,5/18/13,Sat,2:00 PM,U11B,PHX,ABG3,ABG Huntingdon Lower S,PHXABG3
2,5/18/13,Sat,4:00 PM,U15A,CVL,ABG,ABG Huntingdon Lower S,CVLABG
537,5/18/13,Sat,12:00 PM,U11B,ABG1,ASH,ASH Lower Merion HS,ABG1ASH
391,5/18/13,Sat,2:00 PM,U13B,ST2,ASH,ASH Lower Merion HS,ST2ASH
17,5/18/13,Sat,10:00 AM,U15A,COV,AVG,AVG Avon Grove HS 1,COVAVG
221,5/18/13,Sat,2:00 PM,U13C,ASH,AVG2,AVG Avon Grove HS 1,ASHAVG2
428,5/18/13,Sat,10:00 AM,U13B,WC4,AVG1,AVG Harmony Park,WC4AVG1
468,5/18/13,Sat,12:00 PM,U13B,LV2,AVG2,AVG Harmony Park,LV2AVG2
200,5/18/13,Sat,2:00 PM,U13C,CVL,BYC,BYC Concord Municipal 1,CVLBYC
187,5/18/13,Sat,12:00 PM,U11A,ST,BYC,BYC Concord Municipal 2,STBYC
449,5/18/13,Sat,10:00 AM,U13B,BYC2,BYC1,BYC Garnet Valley MS,BYC2BYC1
346,5/18/13,Sat,12:00 PM,U15B,AVG,BYC,BYC Garnet Valley MS,AVGBYC
41,5/18/13,Sat,2:00 PM,U15A,GV,BYC,BYC Garnet Valley MS,GVBYC
80,5/18/13,Sat,4:00 PM,U13A,BYC,COV,COV OJR HS,BYCCOV
483,5/18/13,Sat,10:00 AM,U11B,COV1,CVL1,CVL Warrior Field,COV1CVL1
507,5/18/13,Sat,12:00 PM,U11B,COV2,CVL3,CVL Warrior Field,COV2CVL3
568,5/18/13,Sat,12:15 PM,U11B,AVG2,GV1,GV Great Valley MS,AVG2GV1
302,5/18/13,Sat,2:00 PM,U15B,ASH,GV,GV Great Valley MS,ASHGV
85,5/18/13,Sat,4:00 PM,U13A,ABG,GV,GV Great Valley MS,ABGGV
631,5/18/13,Sat,12:00 PM,U11B,AVG1,KEN2,KEN Kennett HS,AVG1KEN2
153,5/18/13,Sat,10:00 AM,U11A,ASH,KEN,KEN Legacy Field C,ASHKEN
593,5/18/13,Sat,12:00 PM,U11B,WC2,KEN1,KEN Legacy Field C,WC2KEN1
243,5/18/13,Sat,2:00 PM,U13C,LV2,KEN,KEN Legacy Field C,LV2KEN
539,5/18/13,Sat,12:00 PM,U11B,ABG2,LV1,LV Eagleview 1,ABG2LV1
161,5/18/13,Sat,10:00 AM,U11A,WC1,LV,LV Eagleview 2,WC1LV
356,5/18/13,Sat,2:00 PM,U13B,CVL,LV1,LV Hoeffecker,CVLLV1
233,5/18/13,Sat,4:00 PM,U13C,WC,LV1,LV Hoeffecker,WCLV1
286,5/18/13,Sat,2:00 PM,U15B,ABG,PHX,PHX PMYC,ABGPHX
378,5/18/13,Sat,4:00 PM,U13B,ST1,PHX,PHX PMYC,ST1PHX
553,5/18/13,Sat,2:00 PM,U11B,LV2,ST,ST TE Middle Sch 2,LV2ST
99,5/18/13,Sat,10:00 AM,U13A,LV,ST,ST Wilson Park TEYSA,LVST
31,5/18/13,Sat,12:00 PM,U15A,LV,ST,ST Wilson Park TEYSA,LVST
604,5/18/13,Sat,12:00 PM,U11B,WB2,UNV,UNV Patton MS 17,WB2UNV
142,5/18/13,Sat,2:00 PM,U11A,ABG,UNV,UNV Patton MS 17,ABGUNV
68,5/18/13,Sat,4:00 PM,U13A,CVL,UNV1,UNV Upland Country DS,CVLUNV1
596,5/18/13,Sat,2:00 PM,U11B,BYC2,WB1,WB Embreeville,BYC2WB1
436,5/18/13,Sat,4:00 PM,U13B,KEN,WB1,WB Embreeville,KENWB1
94,5/18/13,Sat,12:00 PM,U13A,ASH,WC,WC Kelly Field,ASHWC
266,5/18/13,Sat,2:00 PM,U15B,CVL,WC1,WC Kelly Field,CVLWC1
415,5/18/13,Sat,4:00 PM,U13B,WB2,WC3,WC Kelly Field,WB2WC3
545,5/19/13,Sun,12:00 PM,U11B,LV1,ABG3,ABG Huntingdon Lower N,LV1ABG3
11,5/19/13,Sun,2:00 PM,U15A,COV,ASH,ASH Lower Merion HS,COVASH
134,5/19/13,Sun,2:00 PM,U11A,CVL,BYC,BYC Garnet Valley MS,CVLBYC
360,5/19/13,Sun,2:00 PM,U13B,ABG,COV1,COV OJR HS,ABGCOV1
203,5/19/13,Sun,2:00 PM,U13C,KEN,CVL,CVL Warrior Field,KENCVL
644,5/19/13,Sun,2:00 PM,U11B,ASH,KEN1,KEN Kennett MS,ASHKEN1
426,5/20/13,Mon,6:30 PM,U13B,WC4,BYC1,BYC Garnet Valley MS,WC4BYC1
359,5/20/13,Mon,7:00 PM,U13B,COV2,COV1,COV OJR HS,COV2COV1
261,5/20/13,Mon,6:30 PM,U15B,ABG,CVL,CVL Mt Kirk,ABGCVL
232,5/20/13,Mon,6:30 PM,U13C,LV1,GV,GV Great Valley MS,LV1GV
288,5/20/13,Mon,6:30 PM,U15B,ST,PHX,PHX PMYC,STPHX
431,5/20/13,Mon,6:30 PM,U13B,WB1,WB2,WB Embreeville,WB1WB2
339,5/20/13,Mon,6:30 PM,U15B,WB,WC3,WC Kelly Field,WBWC3
376,5/21/13,Tue,7:00 PM,U13B,PHX,ABG,ABG Huntingdon Upper,PHXABG
97,5/21/13,Tue,6:30 PM,U13A,BYC,ASH,ASH Lower Merion HS,BYCASH
478,5/21/13,Tue,6:30 PM,U13B,WC1,AVG1,AVG Avon Grove HS 1,WC1AVG1
420,5/21/13,Tue,6:30 PM,U13B,WC3,BYC2,BYC Garnet Valley MS,WC3BYC2
355,5/21/13,Tue,6:30 PM,U13B,ST2,CVL,CVL Mt Kirk,ST2CVL
100,5/21/13,Tue,6:30 PM,U13A,ST,GV,GV Great Valley MS,STGV
447,5/21/13,Tue,6:30 PM,U13B,UNV,KEN,KEN Legacy Field B,UNVKEN
390,5/21/13,Tue,6:30 PM,U13B,ASH,LV1,LV Lionville MS,ASHLV1
229,5/21/13,Tue,6:30 PM,U13C,AVG2,ST,ST TE Middle Sch 1,AVG2ST
396,5/21/13,Tue,6:30 PM,U13B,LV2,ST1,ST TE Middle Sch 2,LV2ST1
239,5/21/13,Tue,6:30 PM,U13C,LV2,WC,WC Kelly Field,LV2WC
107,5/21/13,Tue,8:00 PM,U13A,LV,WC,WC Kelly Field,LVWC
412,5/21/13,Tue,6:30 PM,U13B,AVG2,WC2,WC Rustin HS Stadium,AVG2WC2
128,5/22/13,Wed,6:30 PM,U11A,CVL,ASH,ASH Lower Merion HS,CVLASH
192,5/22/13,Wed,6:30 PM,U11A,BYC,AVG,AVG Harmony Park,BYCAVG
621,5/22/13,Wed,6:30 PM,U11B,AVG1,BYC2,BYC Bethel Spr ES 12,AVG1BYC2
510,5/22/13,Wed,6:30 PM,U11B,ABG2,CVL3,CVL Warrior Field,ABG2CVL3
569,5/22/13,Wed,6:30 PM,U11B,KEN1,GV2,GV Great Valley MS,KEN1GV2
554,5/22/13,Wed,6:30 PM,U11B,ST,LV3,LV Eagleview 1,STLV3
516,5/22/13,Wed,6:30 PM,U11B,COV1,LV2,LV Eagleview 2,COV1LV2
530,5/22/13,Wed,6:30 PM,U11B,ASH,PHX,PHX PMYC,ASHPHX
160,5/22/13,Wed,6:30 PM,U11A,KEN,ST,ST TE Middle Sch 2,KENST
597,5/22/13,Wed,6:30 PM,U11B,WB1,WB2,WB Embreeville,WB1WB2
580,5/22/13,Wed,6:30 PM,U11B,KEN2,WC1,WC Kelly Field,KEN2WC1
162,5/22/13,Wed,8:00 PM,U11A,LV,WC2,WC Kelly Field,LVWC2
18,5/23/13,Thu,6:30 PM,U15A,ASH,ABG,ABG Huntingdon Lower N,ASHABG
324,5/23/13,Thu,6:30 PM,U15B,GV,AVG,AVG Avon Grove HS 1,GVAVG
7,5/23/13,Thu,6:30 PM,U15A,WC,CVL,CVL Black Rock 6,WCCVL
36,5/23/13,Thu,6:30 PM,U15A,GV,LV,LV Hoeffecker,GVLV
318,5/23/13,Thu,6:30 PM,U15B,WC1,LV,LV Pine Creek 1,WC1LV
280,5/23/13,Thu,6:30 PM,U15B,COV,WC2,WC Kelly Field,COVWC2
Make-up 1,5/24/13,Fri,6:30PM, ,IF,NEEDED, ,
Blackout,5/25/13,Sat,, ,MEM DAY,WEEKEND,,
Blackout,5/26/13,Sun,, ,MEM DAY,WEEKEND,,
Blackout,5/27/13,Mon,, ,MEM DAY,WEEKEND,,
Make-up 2,5/28/13,Tue,6:30PM, ,IF,NEEDED, ,
Playoff 1,5/29/13,Wed,6:30 PM,U13B,TBA,TBA,TBA: Playoff Round 1,
Playoff 1,5/29/13,Wed,6:30 PM,U13A,TBA,TBA,TBA: Playoff Round 1,
Playoff 1,5/30/13,Thu,6:30 PM,U15B,TBA,TBA,TBA: Playoff Round 1,
Playoff 1,5/30/13,Thu,6:30 PM,U15A,TBA,TBA,TBA: Playoff Round 1,
Playoff 2,6/1/13,Sat,6:30 PM,U13B,TBA,TBA,TBA: Playoff Round 2,
Playoff 2,6/1/13,Sat,6:30 PM,U13A,TBA,TBA,TBA: Playoff Round 2,
Playoff 2,6/2/13,Sun,6:30 PM,U15B,TBA,TBA,TBA: Playoff Round 2,
Playoff 2,6/2/13,Sun,6:30 PM,U15A,TBA,TBA,TBA: Playoff Round 2,
Champ,6/4/13,Tue,6:30 PM,U13B,TBA,TBA,USTC: Championship,
Champ,6/4/13,Tue,8:00 PM,U13A,TBA,TBA,USTC: Championship,
Champ,6/5/13,Wed,6:30 PM,U15B,TBA,TBA,USTC: Championship,
Champ,6/5/13,Wed,8:00 PM,U15A,TBA,TBA,USTC: Championship,