,,,,,,,,,,,,,,,
"CHAPTER CHALLENGE - FIELD GRID DRAFT (with match-ups) - May 1, 2015 - 9:00am",,,,,,,,,,,,,,,
(This grid is for general scheduling purposes and may be subject to change.),,,,,,,,,,,,,,,
SATURDAY,,POLO FIELD #1,,,,,Boys U9B-BLUE Byes,,,,,,,,
Time,Slot,Field #1,Field #2,Field #3,Field #4,Field #5,Field #3,,,,,,,,
08:00:00 H,A,UPRISING 2024 (PA),BROTHERLY LOVE (PA),COUGARS (PA),BYC U11B-IM (PA),BYC FLYNN (PA),SPRING-FORD D BLUE (PA),,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,Boys U9B-BLUE
08:00:00 A,A,TEAM HARLEY U9 (PA),PHILADELPHIA FREEDOM 2024 (PA),CYLAX U-9 (PA),MAD DOGS (PA),BROTHERLY LOVE 2023/2024 (PA),,,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,
08:50:00 H,B,UPRISING 2023 (PA),BROTHERLY LOVE 2023 (PA),SPRING-FORD D BLUE (PA),BYC ZAVOD (PA),SPRING-FORD C BLUE (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9B-BLUE,Boys U11B-BLUE,Boys U11B-BLUE,
08:50:00 A,B,TEAM HARLEY 2022 (PA),LIONVILLE U11A (PA),BROTHERLY LOVE (PA),ROSE TREE OPTIMIST (PA),UPPER MERION LC 3/4 C (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9A-RED,Boys U11B-BLUE,Boys U11B-BLUE,
09:40:00 H,C,BROTHERLY LOVE (PA),PHILADELPHIA FREEDOM 2024 (PA),COUGARS (PA),BROTHERLY LOVE 2023/2024 (PA),BYC FLYNN (PA),CYLAX U-9 (PA),,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,Boys U9B-BLUE
09:40:00 A,C,TEAM HARLEY U9 (PA),UPRISING 2024 (PA),SPRING-FORD D BLUE (PA),BYC U11B-IM (PA),MAD DOGS (PA),,,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,
10:30:00 H,D,UPRISING 2023 (PA),BROTHERLY LOVE 2023 (PA),CYLAX U-9 (PA),UPPER MERION LC 3/4 C (PA),BYC ZAVOD (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9B-BLUE,Boys U11B-BLUE,Boys U11B-BLUE,
10:30:00 A,D,LIONVILLE U11A (PA),TEAM HARLEY 2022 (PA),PHILADELPHIA FREEDOM 2024 (PA),ROSE TREE OPTIMIST (PA),SPRING-FORD C BLUE (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9A-RED,Boys U11B-BLUE,Boys U11B-BLUE,
11:20:00 H,E,BROTHERLY LOVE (PA),TEAM HARLEY U9 (PA),CYLAX U-9 (PA),BROTHERLY LOVE 2023/2024 (PA),BYC U11B-IM (PA),COUGARS (PA),,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,Boys U9B-BLUE
11:20:00 A,E,UPRISING 2024 (PA),PHILADELPHIA FREEDOM 2024 (PA),SPRING-FORD D BLUE (PA),MAD DOGS (PA),SPRING-FORD C BLUE (PA),,,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-BLUE,
12:10:00 H,F,UPRISING 2023 (PA),LIONVILLE U11A (PA),COUGARS (PA),UPPER MERION LC 3/4 C (PA),BYC FLYNN (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9B-BLUE,Boys U11B-BLUE,Boys U11B-RED,
12:10:00 A,F,BROTHERLY LOVE 2023 (PA),TEAM HARLEY 2022 (PA),UPRISING 2024 (PA),BYC ZAVOD (PA),ROSE TREE OPTIMIST (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9A-RED,Boys U11B-BLUE,Boys U11B-BLUE,
01:00:00 H,G,EAGLES (PA),TEAM HARLEY (PA),CYLAX U-13B GRAY (PA),HAVEN BLACK (PA),No game,,,,Boys U13A-RED,Boys U13A-RED,Boys U13B-WHT,Boys U13B-WHT,,
01:00:00 A,G,CYLAX U-13A (PA),SPRING-FORD B BLUE (PA),BYC U13B-2 (PA),UPPER MERION LC 5/6 B2 (PA),No game,,,,Boys U13A-RED,Boys U13A-RED,Boys U13B-WHT,Boys U13B-WHT,,
01:50:00 H,H,BLACK STORM (NJ),RTO B1 (PA),BYC U13C (PA),HAVERFORD BLAZE LC (PA),No game,POOL KEY,,,Boys U13B-BLUE,Boys U13B-BLUE,Boys U13B-RED,Boys U13B-RED,,
01:50:00 A,H,BYC 2022 (PA),CYLAX U-13B GARNET (PA),ASHBEE B1- ORANGE (PA),CYLAX GRAY GHOSTS (PA),No game,Boys U9A-RED,,,Boys U13B-BLUE,Boys U13B-BLUE,Boys U13B-RED,Boys U13B-RED,,Boys U9A-RED
02:40:00 H,I,TEAM HARLEY (PA),SPRING-FORD B BLUE (PA),UPPER MERION LC 5/6 B2 (PA),HAVEN BLACK (PA),No game,Boys U9B-BLUE,,,Boys U13A-RED,Boys U13A-RED,Boys U13B-WHT,Boys U13B-WHT,,Boys U9B-BLUE
02:40:00 A,I,EAGLES (PA),CYLAX U-13A (PA),CYLAX U-13B GRAY (PA),BYC U13B-2 (PA),No game,Boys U11A-RED,,,Boys U13A-RED,Boys U13A-RED,Boys U13B-WHT,Boys U13B-WHT,,Boys U11A-RED
03:30:00 H,J,BYC 2022 (PA),CYLAX U-13B GARNET (PA),CYLAX GRAY GHOSTS (PA),BYC U13C (PA),No game,Boys U11B-BLUE,,,Boys U13B-BLUE,Boys U13B-BLUE,Boys U13B-RED,Boys U13B-RED,,Boys U11B-BLUE
03:30:00 A,J,RTO B1 (PA),BLACK STORM (NJ),ASHBEE B1- ORANGE (PA),HAVERFORD BLAZE LC (PA),No game,Boys U11B-RED,,,Boys U13B-BLUE,Boys U13B-BLUE,Boys U13B-RED,Boys U13B-RED,,Boys U11B-RED
04:20:00 H,K,EAGLES (PA),TEAM HARLEY (PA),BYC U13B-2 (PA),HAVEN BLACK (PA),No game,Boys U13A-RED,,,Boys U13A-RED,Boys U13A-RED,Boys U13B-WHT,Boys U13B-WHT,,Boys U13A-RED
04:20:00 A,K,SPRING-FORD B BLUE (PA),CYLAX U-13A (PA),UPPER MERION LC 5/6 B2 (PA),CYLAX U-13B GRAY (PA),No game,Boys U13B-BLUE,,,Boys U13A-RED,Boys U13A-RED,Boys U13B-WHT,Boys U13B-WHT,,Boys U13B-BLUE
05:10:00 H,L,BYC 2022 (PA),RTO B1 (PA),CYLAX GRAY GHOSTS (PA),ASHBEE B1- ORANGE (PA),No game,Boys U13B-RED,,,Boys U13B-BLUE,Boys U13B-BLUE,Boys U13B-RED,Boys U13B-RED,,Boys U13B-RED
05:10:00 A,L,CYLAX U-13B GARNET (PA),BLACK STORM (NJ),BYC U13C (PA),HAVERFORD BLAZE LC (PA),No game,Boys U13B-WHT,,,Boys U13B-BLUE,Boys U13B-BLUE,Boys U13B-RED,Boys U13B-RED,,Boys U13B-WHT
08:00:00 H,M,UPPER MERION LC 7/8 A2 (PA),BYC U15B (PA),STORM (DE),ROSE TREE RED (PA),RADNOR BLACK (PA),Girls U11A-RED,,,Boys U15B-RED,Boys U15B-RED,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE,Girls U11A-RED
08:00:00 A,M,SPRING-FORD A GOLD (PA),EAGLES (PA),HAWKS (NJ),LOWER MAC MUSTANGS (PA),SPRINGFIELD 2020 (PA),Girls U13A-RED,,,Boys U15B-RED,Boys U15B-RED,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE,Girls U13A-RED
08:50:00 H,N,LBL STAGS (PA),ROSE TREE OPTIMIST 7/8 (PA),BYC (PA),FILIA 2021 (PA),No game,Girls U13B-BLUE,,,Boys U15A-RED,Boys U15A-RED,Girls U13A-RED,Girls U13A-RED,,Girls U13B-BLUE
08:50:00 A,N,HAVEN A1 (PA),SPRING-FORD A BLUE (PA),QUIX STIX 5/6 GRADE A (PA),HENLOPEN STORM (DE),No game,Girls U15A-BLUE,,,Boys U15A-RED,Boys U15A-RED,Girls U13A-RED,Girls U13A-RED,,Girls U15A-BLUE
09:40:00 H,O,UPPER MERION LC 7/8 A2 (PA),BYC U15B (PA),HAWKS (NJ),SPRINGFIELD 2020 (PA),RADNOR BLACK (PA),Girls U15A-RED,,,Boys U15B-RED,Boys U15B-RED,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15A-RED
09:40:00 A,O,EAGLES (PA),SPRING-FORD A GOLD (PA),LOWER MAC MUSTANGS (PA),STORM (DE),ROSE TREE RED (PA),Girls U15B-BLUE,,,Boys U15B-RED,Boys U15B-RED,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE
10:30:00 H,P,HAVEN A1 (PA),LBL STAGS (PA),QUIX STIX 5/6 GRADE A (PA),HENLOPEN STORM (DE),No game,Boys U15A-RED,,,Boys U15A-RED,Boys U15A-RED,Girls U13A-RED,Girls U13A-RED,,Boys U15A-RED
10:30:00 A,P,ROSE TREE OPTIMIST 7/8 (PA),SPRING-FORD A BLUE (PA),FILIA 2021 (PA),BYC (PA),No game,Boys U15B-RED,,,Boys U15A-RED,Boys U15A-RED,Girls U13A-RED,Girls U13A-RED,,Boys U15B-RED
11:20:00 H,Q,BYC U15B (PA),EAGLES (PA),RADNOR BLACK (PA),LOWER MAC MUSTANGS (PA),ROSE TREE RED (PA),,,,Boys U15B-RED,Boys U15B-RED,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE,
11:20:00 A,Q,UPPER MERION LC 7/8 A2 (PA),SPRING-FORD A GOLD (PA),STORM (DE),SPRINGFIELD 2020 (PA),HAWKS (NJ),,,,Boys U15B-RED,Boys U15B-RED,Girls U15B-BLUE,Girls U15B-BLUE,Girls U15B-BLUE,
12:10:00 H,R,ROSE TREE OPTIMIST 7/8 (PA),HAVEN A1 (PA),FILIA 2021 (PA),QUIX STIX 5/6 GRADE A (PA),No game,,,,Boys U15A-RED,Boys U15A-RED,Girls U13A-RED,Girls U13A-RED,,
12:10:00 A,R,LBL STAGS (PA),SPRING-FORD A BLUE (PA),BYC (PA),HENLOPEN STORM (DE),No game,,,,Boys U15A-RED,Boys U15A-RED,Girls U13A-RED,Girls U13A-RED,,
01:00:00 H,S,RTO B (PA),SPRINGFIELD BLUE (PA),QUIX STIX 8TH GRADE A (PA),WEST CHESTER 7/8 REC (PA),HENLOPEN STORM (DE),,,,Girls U13B-BLUE,Girls U13B-BLUE,Girls U15A-RED,Girls U15A-RED,Girls U13B-BLUE,
01:00:00 A,S,FILIA 2022 (PA),BYC (PA),BRANDYWINE MAJORS NAVY (PA),THUNDER (PA),SPRINGFIELD GOLD (PA),,,,Girls U13B-BLUE,Girls U13B-BLUE,Girls U15A-RED,Girls U15A-RED,Girls U13B-BLUE,
01:50:00 H,T,RADNOR MAROON (PA),QUIX STIX 7TH GRADE A (PA),FILIA CYCLONES (PA),BELLES (PA),JUNIOR HAWKS (NJ),,,,Girls U15A-BLUE,Girls U15A-BLUE,Girls U11A-RED,Girls U11A-RED,Girls U11A-RED,
01:50:00 A,T,OPTIMIST LAXERS (PA),SPRINGFIELD GOLD (PA),HENLOPEN STORM (DE),BYC - 4TH GRADE (PA),FILIA HURRICANES (PA),,,,Girls U15A-BLUE,Girls U15A-BLUE,Girls U11A-RED,Girls U11A-RED,Girls U11A-RED,
02:40:00 H,U,RTO B (PA),SPRINGFIELD GOLD (PA),THUNDER (PA),BRANDYWINE MAJORS NAVY (PA),HENLOPEN STORM (DE),,,,Girls U13B-BLUE,Girls U13B-BLUE,Girls U15A-RED,Girls U15A-RED,Girls U13B-BLUE,
02:40:00 A,U,SPRINGFIELD BLUE (PA),FILIA 2022 (PA),QUIX STIX 8TH GRADE A (PA),WEST CHESTER 7/8 REC (PA),BYC (PA),,,,Girls U13B-BLUE,Girls U13B-BLUE,Girls U15A-RED,Girls U15A-RED,Girls U13B-BLUE,
03:30:00 H,V,QUIX STIX 7TH GRADE A (PA),SPRINGFIELD GOLD (PA),FILIA HURRICANES (PA),BELLES (PA),FILIA CYCLONES (PA),,,,Girls U15A-BLUE,Girls U15A-BLUE,Girls U11A-RED,Girls U11A-RED,Girls U11A-RED,
03:30:00 A,V,OPTIMIST LAXERS (PA),RADNOR MAROON (PA),HENLOPEN STORM (DE),JUNIOR HAWKS (NJ),BYC - 4TH GRADE (PA),,,,Girls U15A-BLUE,Girls U15A-BLUE,Girls U11A-RED,Girls U11A-RED,Girls U11A-RED,
04:20:00 H,W,HENLOPEN STORM (DE),FILIA 2022 (PA),WEST CHESTER 7/8 REC (PA),BRANDYWINE MAJORS NAVY (PA),BYC (PA),,,,Girls U13B-BLUE,Girls U13B-BLUE,Girls U15A-RED,Girls U15A-RED,Girls U13B-BLUE,
04:20:00 A,W,RTO B (PA),SPRINGFIELD BLUE (PA),QUIX STIX 8TH GRADE A (PA),THUNDER (PA),SPRINGFIELD GOLD (PA),,,,Girls U13B-BLUE,Girls U13B-BLUE,Girls U15A-RED,Girls U15A-RED,Girls U13B-BLUE,
05:10:00 H,X,SPRINGFIELD GOLD (PA),RADNOR MAROON (PA),HENLOPEN STORM (DE),FILIA CYCLONES (PA),FILIA HURRICANES (PA),,,,Girls U15A-BLUE,Girls U15A-BLUE,Girls U11A-RED,Girls U11A-RED,Girls U11A-RED,
05:10:00 A,X,OPTIMIST LAXERS (PA),QUIX STIX 7TH GRADE A (PA),JUNIOR HAWKS (NJ),BELLES (PA),BYC - 4TH GRADE (PA),,,,Girls U15A-BLUE,Girls U15A-BLUE,Girls U11A-RED,Girls U11A-RED,Girls U11A-RED,