Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-06-03 1PM,,,,,,,,,,,,,,,,,,,,,,,
(This grid is for general scheduling purposes and may be subject to change.),,,,,,,,,,,,,,,,,,,,,,,
Saturday,SATURDAY,,,,,,,,,# Finals,,,,,,,,,,,,,
Time,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Pool Key,,,,,,,,,,,,,,
08:50:00 H,VIPER 6,ASHBEE ORANGE,RADNOR LC,GREAT VALLEY PATRIOTS,BYC U13B-2,CYLAX GARNET B,CYLAX GRAY C,RIDGE FUTURES GREEN,Boys Club 2021/22A-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys Club 2021/22A-1,,,
08:50:00 A,SOUTH PARKLAND,PA ROUGHRIDERS 2022 ,COUGAR ELITE WHITE,HEMPFIELD,PHILADELPHIA FREEDOM 2021 WHITE,MARPLE NEWTOWN TIGERS I,UNIONVILLE INDIANS,BLAZE U-13,Boys Club 2023/24A-1,2,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys Club 2023/24A-1,,,
09:40:00 H,,STARS & STRIPES 2022 BLUE,PA ROUGHRIDERS 2021 SELECT,PA ROUGHRIDERS 2020 SELECT,RIDLEY U13,BYC 13A SKULSKI,KENNETT BLUE DEMONS U13A,,Boys U13A-1,1,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,Boys U13A-1,,,
09:40:00 A,,COUGAR ELITE  BLUE,MD WOLFPACK 2021,BULLDOGS,LEHIGH VALLEY OUTLAWS,MT. LEBANON U13A,COUGAR ELITE,,Boys U13A-2,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,Boys U13A-2,,,
10:30:00 H,RADNOR LC,PA ROUGHRIDERS 2022 ,VIPER 6,ASHBEE ORANGE,UNIONVILLE INDIANS,MARPLE NEWTOWN TIGERS I,CYLAX GRAY C,BLAZE U-13,Boys U13B-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U13B-1,,,
10:30:00 A,SOUTH PARKLAND,GREAT VALLEY PATRIOTS,COUGAR ELITE WHITE,HEMPFIELD,PHILADELPHIA FREEDOM 2021 WHITE,RIDGE FUTURES GREEN,BYC U13B-2,CYLAX GARNET B,Boys U13B-2,,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U13B-2,,,
11:20:00 H,,,PA ROUGHRIDERS 2021 SELECT,STARS & STRIPES 2022 BLUE,PA ROUGHRIDERS 2020 SELECT,KENNETT BLUE DEMONS U13A,BULLDOGS,COUGAR ELITE,Boys U13B-3,,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,Boys U13B-3,,,
11:20:00 A,,,COUGAR ELITE  BLUE,MD WOLFPACK 2021,BYC 13A SKULSKI,RIDLEY U13,MT. LEBANON U13A,LEHIGH VALLEY OUTLAWS,Boys U13B-4,,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,Boys U13B-4,,,
12:10:00 H,COUGAR ELITE WHITE,GREAT VALLEY PATRIOTS,VIPER 6,HEMPFIELD,UNIONVILLE INDIANS,BLAZE U-13,CYLAX GRAY C,RIDGE FUTURES GREEN,Boys U9A-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U9A-1,,,
12:10:00 A,SOUTH PARKLAND,ASHBEE ORANGE,RADNOR LC,PA ROUGHRIDERS 2022 ,BYC U13B-2,MARPLE NEWTOWN TIGERS I,PHILADELPHIA FREEDOM 2021 WHITE,CYLAX GARNET B,Boys U9B-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U9B-1,,,
01:00:00 H,UPRISING 2024,DELTA HOUSE,PA ROUGHRIDERS 2023,CYLAX GARNET A,BLUE DEMONS,CYLAX GRAY B,COLLEGEVILLE COUGARS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,,
01:00:00 A,PA ROUGHRIDERS 2024,UPRISING 2023,FREEDOM LC 2024,HARLEY 2024,TIGERS U9,BEL AIR TYKER BOYS,OLDE ENGLISH LACROSSE,,,7,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,,
01:50:00 H,COUGAR ELITE  BLUE,PA ROUGHRIDERS 2021 SELECT,Semi A: Pool 2 (1st),Semi B: Pool 4 (1st),MT. LEBANON U13A,COUGAR ELITE,BULLDOGS,KENNETT BLUE DEMONS U13A,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13B-2,Boys U13B-4,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,,,
01:50:00 A,MD WOLFPACK 2021,STARS & STRIPES 2022 BLUE,Semi A: Pool 1 (1st),Semi B: Pool 3 (1st),PA ROUGHRIDERS 2020 SELECT,RIDLEY U13,BYC 13A SKULSKI,LEHIGH VALLEY OUTLAWS,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13B-1,Boys U13B-3,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,,,
02:40:00 H,,PA ROUGHRIDERS 2023,FREEDOM LC 2024,UPRISING 2023,BLUE DEMONS,HARLEY 2024,COLLEGEVILLE COUGARS,BEL AIR TYKER BOYS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
02:40:00 A,,DELTA HOUSE,UPRISING 2024,PA ROUGHRIDERS 2024,CYLAX GARNET A,TIGERS U9,CYLAX GRAY B,OLDE ENGLISH LACROSSE,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
03:30:00 H,,,Semi B: Pool 1 (2nd),Final: Pool 1 (2nd),Final: Semi A (Winner),Semi A: Pool 1 (1st),,,,,,,,Boys U13A-1,Boys Club 2021/22A-1,Boys U13B-1,Boys U13A-1,,,,,,
03:30:00 A,,,Semi B: Pool 2 (1st),Final: Pool 1 (1st),Final: Semi B (Winner),Semi A: Pool 2 (2nd),,,,,,,,Boys U13A-2,Boys Club 2021/22A-1,Boys U13B-1,Boys U13A-2,,,,,,
04:20:00 H,,PA ROUGHRIDERS 2023,FREEDOM LC 2024,DELTA HOUSE,CYLAX GARNET A,HARLEY 2024,CYLAX GRAY B,COLLEGEVILLE COUGARS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
04:20:00 A,,UPRISING 2023,PA ROUGHRIDERS 2024,UPRISING 2024,TIGERS U9,BLUE DEMONS,OLDE ENGLISH LACROSSE,BEL AIR TYKER BOYS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
05:10:00 H,,,Final: 2024 (2nd),Final: 2023 (2nd),Final: Pool 1 (2nd),Final: Semi A (Winner),Final: Pool 1 (2nd),,,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U13A-1,Boys U9B-1,,,,,
05:10:00 A,,,Final: 2024 (1st),Final: 2023 (1st),Final: Pool 1 (1st),Final: Semi B (Winner),Final: Pool 1 (1st),,,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U13A-1,Boys U9B-1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sunday,SUNDAY,,,,,,,,,,,,,,,,,,,,,,
Time,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Pool Key,,,,,,,,,,,,,,
08:50:00 H,CHOSEN,VIPER LUZZI,UNIONVILLE BLUE,COUGAR ELITE,MAD DOGS,RIDGE FUTURES WHITE,,,Boys Club 2019A-1,1,,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,,,Boys Club 2019A-1,,,
08:50:00 A,HALLORAN 11A,TEAM HARLEY 2022,CYLAX TRAVEL A,KENNETT BLUE DEMONS,LIONVILLE U11A,STARS & STRIPES 2022 RED,,,Boys Club 2020A-1,1,,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,,,Boys Club 2020A-1,,,
09:40:00 H,HAVERFORD BLAZE U-15,HAVEN,CYLAX TRAVEL B,CYLAX HOUSE,TWIN VALLEY RAIDERS - 3-4 LIGHTNING,VIPER 3,HOUSE LEAGUE ALL STARS,BLAZE U 11,Boys U11A-1,1,,Boys U15B-1,Boys U15B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11A-1,,,
09:40:00 A,SOUDERTON,COUGAR ELITE,COATESVILLE RED RAIDERS,TEAM HARLEY 2023,BYC U11B,SOUTH PARKLAND,HW TURTLES,CYLAX TRAVEL C,Boys U11A-2,,,Boys U15B-1,Boys U15B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11A-2,,,
10:30:00 H,MAD DOGS,TEAM HARLEY 2022,CHOSEN,STARS & STRIPES 2022 RED,HALLORAN 11A,RIDGE FUTURES WHITE,MESA FRESH 2019,SONS 2020,Boys U11B-1,1,,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-1,,,
10:30:00 A,UNIONVILLE BLUE,COUGAR ELITE,LIONVILLE U11A,KENNETT BLUE DEMONS,CYLAX TRAVEL A,VIPER LUZZI,RIDGE FUTURES SILVER,MD WOLFPACK 2019B,Boys U11B-2,,,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,,,
11:20:00 H,HAVEN,COUGAR ELITE,HOUSE LEAGUE ALL STARS,TEAM HARLEY 2023,CYLAX TRAVEL B,CYLAX HOUSE,COATESVILLE RED RAIDERS,SOUTH PARKLAND,Boys U15A-1,1,,Boys U15B-1,Boys U15B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U15A-1,,,
11:20:00 A,HAVERFORD BLAZE U-15,SOUDERTON,TWIN VALLEY RAIDERS - 3-4 LIGHTNING,VIPER 3,HW TURTLES,CYLAX TRAVEL C,BYC U11B,BLAZE U 11,Boys U15B-1,1,,Boys U15B-1,Boys U15B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U15B-1,,,
12:10:00 H,CYLAX TRAVEL A,COUGAR ELITE,CHOSEN,KENNETT BLUE DEMONS,HALLORAN 11A,TEAM HARLEY 2022,LEHIGH VALLEY OUTLAWS,COUGAR ELITE,,,,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U15A-1,Boys U15A-1,,,,
12:10:00 A,LIONVILLE U11A,STARS & STRIPES 2022 RED,MAD DOGS,VIPER LUZZI,UNIONVILLE BLUE,RIDGE FUTURES WHITE,SCHNECKSVILLE SPA,VIPER 19,,,,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U11A-2,Boys U11A-1,Boys U15A-1,Boys U15A-1,,,,
01:00:00 H,HAVEN,HAVERFORD BLAZE U-15,Semi A: Pool 1 (1st),Semi B: Pool 1 (2nd),RIDGE FUTURES BLACK,MD WOLFPACK 2020,RIDGE FUTURES SILVER,SONS 2020,,,,Boys U15B-1,Boys U15B-1,Boys U11A-1,Boys U11A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,,,
01:00:00 A,SOUDERTON,COUGAR ELITE,Semi A: Pool 2 (2nd),Semi B: Pool 2 (1st),STARS & STRIPES 2020/2021 BLUE,STARS & STRIPES 2020/2021 RED,MD WOLFPACK 2019B,MESA FRESH 2019,,6,,Boys U15B-1,Boys U15B-1,Boys U11A-2,Boys U11A-2,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,,,
01:50:00 H,TWIN VALLEY RAIDERS - 3-4 LIGHTNING,SOUTH PARKLAND,HW TURTLES,BLAZE U 11,HOUSE LEAGUE ALL STARS,TEAM HARLEY 2023,VIPER 19,SCHNECKSVILLE SPA,,,,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U15A-1,Boys U15A-1,,,,
01:50:00 A,COATESVILLE RED RAIDERS,CYLAX HOUSE,BYC U11B,VIPER 3,CYLAX TRAVEL B,CYLAX TRAVEL C,LEHIGH VALLEY OUTLAWS,COUGAR ELITE,,,,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U11B-2,Boys U11B-1,Boys U15A-1,Boys U15A-1,,,,
02:40:00 H,Semi A: Pool 2 (2nd),Semi B: Pool 1 (2nd),STARS & STRIPES 2020/2021 RED,Final: Semi A (Winner),STARS & STRIPES 2020/2021 BLUE,MESA FRESH 2018,MD WOLFPACK 2020,,,,,Boys U11B-1,Boys U11B-1,Boys Club 2020A-1,Boys U11A-1,Boys Club 2020A-1,No division,Boys Club 2020A-1,,,,,
02:40:00 A,Semi A: Pool 1 (1st),Semi B: Pool 2 (1st),MD WOLFPACK 2019B,Final: Semi B (Winner),RIDGE FUTURES SILVER,MESA FRESH 2019,RIDGE FUTURES BLACK,,,,,Boys U11B-2,Boys U11B-2,Boys Club 2019A-1,Boys U11A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys Club 2020A-1,,,,,
03:30:00 H,,COUGAR ELITE,SCHNECKSVILLE SPA,Final: Pool 1 (2nd),Final: Pool 1 (2nd),,,,,,,,Boys U15A-1,Boys U15A-1,Boys Club 2019A-1,Boys U15B-1,,,,,,,
03:30:00 A,,LEHIGH VALLEY OUTLAWS,VIPER 19,Final: Pool 1 (1st),Final: Pool 1 (1st),,,,,,,,Boys U15A-1,Boys U15A-1,Boys Club 2019A-1,Boys U15B-1,,,,,,,
04:20:00 H,,RIDGE FUTURES BLACK,STARS & STRIPES 2020/2021 BLUE,Final: Semi A (Winner),Final: Pool 1 (2nd),,,,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys U11B-1,Boys U15A-1,,,,,,,
04:20:00 A,,STARS & STRIPES 2020/2021 RED,MD WOLFPACK 2020,Final: Semi B (Winner),Final: Pool 1 (1st),,,,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys U11B-1,Boys U15A-1,,,,,,,
05:10:00 H,,,,Final: Pool 1 (2nd),,,,,,,,,,,Boys Club 2020A-1,,,,,,,,
05:10:00 A,,,,Final: Pool 1 (1st),,,,,No division,,,,,,Boys Club 2020A-1,,,,,,,,
