BROTHERLY LOVE 2023,Boys U11A
LIONVILLE U11A,Boys U11A
TEAM HARLEY 2022,Boys U11A
UPRISING 2023,Boys U11A
BROTHERLY LOVE 2023/2024,Boys U11B
BYC 3,Boys U11B
BYC U11B-I'M,Boys U11B
U11 B FLYNN,Boys U11B
PHILADELPHIA FREEDOM 2024,Boys U11B
ROSE TREE OPTIMIST,Boys U11B
SPRING-FORD C BLUE,Boys U11B
UPPER MERION LACROSSE CLUB 3/4 C,Boys U11B
UPRISING 2024,Boys U11B
Dummy 1,Boys U11B
CYLAX U-13A,Boys U13A
EAGLES,Boys U13A
TEAM HARLEY,Boys U13A
BLACK STORM,Boys U13A
SPRING-FORD B BLUE,Boys U13A
Dummy 2,Boys U13A
ASHBEE B1- ORANGE,Boys U13B
BYC U13B-1,Boys U13B
BYC U13B-2,Boys U13B
BYC U13C,Boys U13B
CYLAX U-13B GARNET,Boys U13B
CYLAX U-13B GRAY,Boys U13B
RTO B1,Boys U13B
UPPER MERION LACROSSE CLUB 5/6 B2,Boys U13B
CYLAX U-15A,Boys U15A
HAVEN A1,Boys U15A
LBL STAGS,Boys U15A
SPRING-FORD A BLUE,Boys U15A
BYC U15B,Boys U15B
CYLAX U-15B,Boys U15B
EAGLES,Boys U15B
ROSE TREE OPTIMIST 7/8,Boys U15B
SPRING-FORD A GOLD,Boys U15B
UPPER MERION LACROSSE CLUB 7/8 A2,Boys U15B
BUCKS SELECT 2020,Boys U15Club
RISING SONS 2020,Boys U15Club
RISING SONS,Boys U15Club
Dummy 3,Boys U15Club
COUGARS,Boys U9A
Dummy 4,Boys U9A
Dummy 5,Boys U9A
Dummy 6,Boys U9A
CYLAX U-9,Boys U9B
SPRING-FORD D BLUE,Boys U9B
Dummy 7,Boys U9B
Dummy 8,Boys U9B
BELLES,Girls U11A
BYC - 4TH GRADE,Girls U11A
JUNIOR HAWKS,Girls U11A
HENLOPEN STORM,Girls U11A
FILIA: CYCLONES,Girls U11B
FILIA: HURRICANES,Girls U11B
Dummy 9,Girls U11B
Dummy 10,Girls U11B
BYC,Girls U13A
FILIA 2021,Girls U13A
HENLOPEN STORM,Girls U13A
QUIX STIX 5/6 GRADE A,Girls U13A
QUIX STIX 7TH GRADE A,Girls U13A
SPRINGFIELD GOLD,Girls U13A
BYC,Girls U13B
FILIA 2022,Girls U13B
HENLOPEN STORM,Girls U13B
RTO B,Girls U13B
SPRINGFIELD BLUE,Girls U13B
Dummy 11,Girls U13B
THUNDER,Girls U15A
OPTIMIST LAXERS,Girls U15A
QUIX STIX 8TH GRADE A,Girls U15A
SPRINGFIELD GOLD,Girls U15A
BYC -  7TH GRADE,Girls U15B
STORM,Girls U15B
LOWER MAC MUSTANGS,Girls U15B
ROSE TREE RED,Girls U15B
SPRINGFIELD 2020,Girls U15B
Dummy 12,Girls U15B