,BPC - Saturday 1,Score,BPC - Saturday 2,Score,BPC - Saturday 3,Score,BPC - Saturday 4,Score,BPC - Saturday 5,Score,BPC - Saturday 6,Score,BPC - Saturday 7,Score,BPC - Saturday 8,Score,BPC - Sunday 9,Score,BPC - Sunday 10,Score,BPC - Sunday 11,Score,BPC - Sunday 12,Score,BPC - Sunday 13,Score,BPC - Sunday 14,Score,BPC - Sunday 15,Score,BPC - Sunday 16,Score
07:00:00 H,Boys U11B: PHILADELPHIA FREEDOM 2024,,Boys U11B: UPRISING 2024,,Boys U11B: BYC U11B-I'M,,Boys U11B: ROSE TREE OPTIMIST,,Boys U11B: BYC 3,,Girls U15B: STORM,,Girls U15B: Dummy 12,,Girls U15B: LOWER MAC MUSTANGS,,Girls U13A: BYC,,Girls U13A: SPRINGFIELD GOLD,,Girls U13A: HENLOPEN STORM,,Boys U15B: EAGLES,,Boys U15B: CYLAX U-15B,,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2,,No game,,No game,
07:00:00 A,Boys U11B: Dummy 1,,Boys U11B: UPPER MERION LACROSSE CLUB 3/4 C,,Boys U11B: U11 B FLYNN,,Boys U11B: SPRING-FORD C BLUE,,Boys U11B: BROTHERLY LOVE 2023/2024,,Girls U15B: BYC -  7TH GRADE,,Girls U15B: SPRINGFIELD 2020,,Girls U15B: ROSE TREE RED,,Girls U13A: FILIA 2021,,Girls U13A: QUIX STIX 7TH GRADE A,,Girls U13A: QUIX STIX 5/6 GRADE A,,Boys U15B: ROSE TREE OPTIMIST 7/8,,Boys U15B: BYC U15B,,Boys U15B: SPRING-FORD A GOLD,,No game,,No game,
07:50:00 H,Girls U15A: THUNDER,,Girls U15A: QUIX STIX 8TH GRADE A,,Girls U11B: FILIA: HURRICANES,,Girls U11B: Dummy 9,,Girls U11A: BELLES,,Girls U11A: JUNIOR HAWKS,,Boys U9B: CYLAX U-9,,Boys U9B: Dummy 8,,Boys U13A: SPRING-FORD B BLUE,,Boys U13A: CYLAX U-13A,,Boys U13A: TEAM HARLEY,,No game,,No game,,No game,,No game,,No game,
07:50:00 A,Girls U15A: OPTIMIST LAXERS,,Girls U15A: SPRINGFIELD GOLD,,Girls U11B: FILIA: CYCLONES,,Girls U11B: Dummy 10,,Girls U11A: BYC - 4TH GRADE,,Girls U11A: HENLOPEN STORM,,Boys U9B: SPRING-FORD D BLUE,,Boys U9B: Dummy 7,,Boys U13A: Dummy 2,,Boys U13A: EAGLES,,Boys U13A: BLACK STORM,,No game,,No game,,No game,,No game,,No game,
08:40:00 H,Boys U11B: UPRISING 2024,,Boys U11B: BYC 3,,Boys U11B: ROSE TREE OPTIMIST,,Boys U11B: UPPER MERION LACROSSE CLUB 3/4 C,,Boys U11B: U11 B FLYNN,,Girls U15B: ROSE TREE RED,,Girls U15B: BYC -  7TH GRADE,,Girls U15B: STORM,,Girls U13A: QUIX STIX 7TH GRADE A,,Girls U13A: HENLOPEN STORM,,Girls U13A: BYC,,Boys U15B: BYC U15B,,Boys U15B: EAGLES,,Boys U15B: SPRING-FORD A GOLD,,No game,,No game,
08:40:00 A,Boys U11B: Dummy 1,,Boys U11B: BYC U11B-I'M,,Boys U11B: BROTHERLY LOVE 2023/2024,,Boys U11B: SPRING-FORD C BLUE,,Boys U11B: PHILADELPHIA FREEDOM 2024,,Girls U15B: SPRINGFIELD 2020,,Girls U15B: Dummy 12,,Girls U15B: LOWER MAC MUSTANGS,,Girls U13A: QUIX STIX 5/6 GRADE A,,Girls U13A: FILIA 2021,,Girls U13A: SPRINGFIELD GOLD,,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2,,Boys U15B: CYLAX U-15B,,Boys U15B: ROSE TREE OPTIMIST 7/8,,No game,,No game,
09:30:00 H,Girls U15A: QUIX STIX 8TH GRADE A,,Girls U15A: OPTIMIST LAXERS,,Girls U11B: Dummy 9,,Girls U11B: Dummy 10,,Girls U11A: JUNIOR HAWKS,,Girls U11A: HENLOPEN STORM,,Boys U9B: CYLAX U-9,,Boys U9B: SPRING-FORD D BLUE,,Boys U13A: SPRING-FORD B BLUE,,Boys U13A: CYLAX U-13A,,Boys U13A: EAGLES,,No game,,No game,,No game,,No game,,No game,
09:30:00 A,Girls U15A: THUNDER,,Girls U15A: SPRINGFIELD GOLD,,Girls U11B: FILIA: CYCLONES,,Girls U11B: FILIA: HURRICANES,,Girls U11A: BELLES,,Girls U11A: BYC - 4TH GRADE,,Boys U9B: Dummy 7,,Boys U9B: Dummy 8,,Boys U13A: BLACK STORM,,Boys U13A: Dummy 2,,Boys U13A: TEAM HARLEY,,No game,,No game,,No game,,No game,,No game,
10:20:00 H,Boys U11B: BYC U11B-I'M,,Boys U11B: PHILADELPHIA FREEDOM 2024,,Boys U11B: BROTHERLY LOVE 2023/2024,,Boys U11B: Dummy 1,,Boys U11B: UPRISING 2024,,Girls U15B: BYC -  7TH GRADE,,Girls U15B: Dummy 12,,Girls U15B: STORM,,Girls U13A: HENLOPEN STORM,,Girls U13A: QUIX STIX 7TH GRADE A,,Girls U13A: QUIX STIX 5/6 GRADE A,,Boys U15B: BYC U15B,,Boys U15B: SPRING-FORD A GOLD,,Boys U15B: ROSE TREE OPTIMIST 7/8,,No game,,No game,
10:20:00 A,Boys U11B: UPPER MERION LACROSSE CLUB 3/4 C,,Boys U11B: BYC 3,,Boys U11B: U11 B FLYNN,,Boys U11B: SPRING-FORD C BLUE,,Boys U11B: ROSE TREE OPTIMIST,,Girls U15B: LOWER MAC MUSTANGS,,Girls U15B: ROSE TREE RED,,Girls U15B: SPRINGFIELD 2020,,Girls U13A: BYC,,Girls U13A: FILIA 2021,,Girls U13A: SPRINGFIELD GOLD,,Boys U15B: EAGLES,,Boys U15B: CYLAX U-15B,,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2,,No game,,No game,
11:10:00 H,Girls U15A: THUNDER,,Girls U15A: OPTIMIST LAXERS,,Girls U11B: Dummy 9,,Girls U11B: FILIA: CYCLONES,,Girls U11A: BYC - 4TH GRADE,,Girls U11A: BELLES,,Boys U9B: CYLAX U-9,,Boys U9B: Dummy 7,,Boys U13A: SPRING-FORD B BLUE,,Boys U13A: TEAM HARLEY,,Boys U13A: BLACK STORM,,No game,,No game,,No game,,No game,,No game,
11:10:00 A,Girls U15A: SPRINGFIELD GOLD,,Girls U15A: QUIX STIX 8TH GRADE A,,Girls U11B: FILIA: HURRICANES,,Girls U11B: Dummy 10,,Girls U11A: JUNIOR HAWKS,,Girls U11A: HENLOPEN STORM,,Boys U9B: Dummy 8,,Boys U9B: SPRING-FORD D BLUE,,Boys U13A: EAGLES,,Boys U13A: CYLAX U-13A,,Boys U13A: Dummy 2,,No game,,No game,,No game,,No game,,No game,
12:00:00 H,Boys U9A: Dummy 6,,Boys U9A: Dummy 4,,Boys U15Club: Dummy 3,,Boys U15Club: BUCKS SELECT 2020,,Boys U15A: LBL STAGS,,Boys U15A: HAVEN A1,,Boys U13B: CYLAX U-13B GARNET,,Boys U13B: RTO B1,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
12:00:00 A,Boys U9A: Dummy 5,,Boys U9A: COUGARS,,Boys U15Club: RISING SONS,,Boys U15Club: RISING SONS 2020,,Boys U15A: SPRING-FORD A BLUE,,Boys U15A: CYLAX U-15A,,Boys U13B: CYLAX U-13B GRAY,,Boys U13B: UPPER MERION LACROSSE CLUB 5/6 B2,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
12:50:00 H,Boys U13B: ASHBEE B1- ORANGE,,Boys U13B: BYC U13C,,Boys U11A: LIONVILLE U11A,,Boys U11A: UPRISING 2023,,Girls U13B: HENLOPEN STORM,,Girls U13B: FILIA 2022,,Girls U13B: Dummy 11,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
12:50:00 A,Boys U13B: BYC U13B-1,,Boys U13B: BYC U13B-2,,Boys U11A: BROTHERLY LOVE 2023,,Boys U11A: TEAM HARLEY 2022,,Girls U13B: RTO B,,Girls U13B: BYC,,Girls U13B: SPRINGFIELD BLUE,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
13:40:00 H,Boys U9A: Dummy 5,,Boys U9A: Dummy 4,,Boys U15Club: RISING SONS 2020,,Boys U15Club: BUCKS SELECT 2020,,Boys U15A: CYLAX U-15A,,Boys U15A: SPRING-FORD A BLUE,,Boys U13B: RTO B1,,Boys U13B: CYLAX U-13B GRAY,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
13:40:00 A,Boys U9A: COUGARS,,Boys U9A: Dummy 6,,Boys U15Club: Dummy 3,,Boys U15Club: RISING SONS,,Boys U15A: LBL STAGS,,Boys U15A: HAVEN A1,,Boys U13B: CYLAX U-13B GARNET,,Boys U13B: UPPER MERION LACROSSE CLUB 5/6 B2,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
14:30:00 H,Boys U13B: BYC U13B-2,,Boys U13B: BYC U13B-1,,Boys U11A: TEAM HARLEY 2022,,Boys U11A: LIONVILLE U11A,,Girls U13B: BYC,,Girls U13B: FILIA 2022,,Girls U13B: RTO B,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
14:30:00 A,Boys U13B: ASHBEE B1- ORANGE,,Boys U13B: BYC U13C,,Boys U11A: BROTHERLY LOVE 2023,,Boys U11A: UPRISING 2023,,Girls U13B: Dummy 11,,Girls U13B: HENLOPEN STORM,,Girls U13B: SPRINGFIELD BLUE,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
15:20:00 H,Boys U9A: COUGARS,,Boys U9A: Dummy 5,,Boys U15Club: RISING SONS,,Boys U15Club: BUCKS SELECT 2020,,Boys U15A: CYLAX U-15A,,Boys U15A: LBL STAGS,,Boys U13B: RTO B1,,Boys U13B: CYLAX U-13B GARNET,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
15:20:00 A,Boys U9A: Dummy 6,,Boys U9A: Dummy 4,,Boys U15Club: RISING SONS 2020,,Boys U15Club: Dummy 3,,Boys U15A: SPRING-FORD A BLUE,,Boys U15A: HAVEN A1,,Boys U13B: CYLAX U-13B GRAY,,Boys U13B: UPPER MERION LACROSSE CLUB 5/6 B2,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
16:10:00 H,Boys U13B: BYC U13C,,Boys U13B: BYC U13B-2,,Boys U11A: BROTHERLY LOVE 2023,,Boys U11A: TEAM HARLEY 2022,,Girls U13B: Dummy 11,,Girls U13B: SPRINGFIELD BLUE,,Girls U13B: BYC,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
16:10:00 A,Boys U13B: ASHBEE B1- ORANGE,,Boys U13B: BYC U13B-1,,Boys U11A: UPRISING 2023,,Boys U11A: LIONVILLE U11A,,Girls U13B: RTO B,,Girls U13B: FILIA 2022,,Girls U13B: HENLOPEN STORM,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,,No game,
