,BPC 1,Score,BPC 2,Score,BPC 3,Score,BPC 4,Score,BPC 5,Score
07:00:00 H,Girls U15B: STORM (DE),,Girls U15B: RADNOR BLACK (PA),,Girls U15B: ROSE TREE RED (PA),,Girls U15A: THUNDER (PA),,Girls U15A: RADNOR MAROON (PA),
07:00:00 A,Girls U15B: LOWER MAC MUSTANGS (PA),,Girls U15B: HAWKS (NJ),,Girls U15B: SPRINGFIELD 2020 (PA),,Girls U15A: OPTIMIST LAXERS (PA),,Girls U15A: BRANDYWINE MAJORS NAVY (PA),
07:50:00 H,Girls U13B: RTO B (PA),,Girls U13B: SPRINGFIELD BLUE (PA),,Girls U13B: HENLOPEN STORM (DE),,Girls U15A: QUIX STIX 7TH GRADE A (PA),,Girls U15A: Dummy 3 (PA),
07:50:00 A,Girls U13B: BYC (PA),,Girls U13B: FILIA 2021 (**Changed from U13A to U13B**) (PA),,Girls U13B: FILIA 2022 (PA),,Girls U15A: SPRINGFIELD GOLD (PA),,Girls U15A: QUIX STIX 8TH GRADE A (PA),
08:40:00 H,Girls U15B: RADNOR BLACK (PA),,Girls U15B: LOWER MAC MUSTANGS (PA),,Girls U15B: STORM (DE),,Girls U15A: THUNDER (PA),,Girls U15A: BRANDYWINE MAJORS NAVY (PA),
08:40:00 A,Girls U15B: SPRINGFIELD 2020 (PA),,Girls U15B: HAWKS (NJ),,Girls U15B: ROSE TREE RED (PA),,Girls U15A: RADNOR MAROON (PA),,Girls U15A: OPTIMIST LAXERS (PA),
09:30:00 H,Girls U13B: SPRINGFIELD BLUE (PA),,Girls U13B: RTO B (PA),,Girls U13B: FILIA 2021 (**Changed from U13A to U13B**) (PA),,Girls U15A: SPRINGFIELD GOLD (PA),,Girls U15A: Dummy 3 (PA),
09:30:00 A,Girls U13B: BYC (PA),,Girls U13B: HENLOPEN STORM (DE),,Girls U13B: FILIA 2022 (PA),,Girls U15A: QUIX STIX 8TH GRADE A (PA),,Girls U15A: QUIX STIX 7TH GRADE A (PA),
10:20:00 H,Girls U15B: RADNOR BLACK (PA),,Girls U15B: STORM (DE),,Girls U15B: HAWKS (NJ),,Girls U15A: THUNDER (PA),,Girls U15A: RADNOR MAROON (PA),
10:20:00 A,Girls U15B: LOWER MAC MUSTANGS (PA),,Girls U15B: SPRINGFIELD 2020 (PA),,Girls U15B: ROSE TREE RED (PA),,Girls U15A: BRANDYWINE MAJORS NAVY (PA),,Girls U15A: OPTIMIST LAXERS (PA),
11:10:00 H,Girls U13B: SPRINGFIELD BLUE (PA),,Girls U13B: RTO B (PA),,Girls U13B: FILIA 2021 (**Changed from U13A to U13B**) (PA),,Girls U15A: Dummy 3 (PA),,Girls U15A: QUIX STIX 7TH GRADE A (PA),
11:10:00 A,Girls U13B: HENLOPEN STORM (DE),,Girls U13B: FILIA 2022 (PA),,Girls U13B: BYC (PA),,Girls U15A: SPRINGFIELD GOLD (PA),,Girls U15A: QUIX STIX 8TH GRADE A (PA),
12:00:00 H,Girls U11A: FILIA: CYCLONES (PA),,Girls U11A: BYC - 4TH GRADE (PA),,Girls U11A: FILIA: HURRICANES (PA),,Girls U13A: QUIX STIX 5/6 GRADE A (PA),,Girls U13A: SPRINGFIELD GOLD (PA),
12:00:00 A,Girls U11A: BELLES (PA),,Girls U11A: JUNIOR HAWKS (NJ),,Girls U11A: HENLOPEN STORM (DE),,Girls U13A: HENLOPEN STORM (DE),,Girls U13A: BYC (PA),
12:50:00 H,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (PA),,Boys U15B: BYC U15B (PA),,Boys U15A: SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA),,Boys U15A: LBL STAGS (PA),,No game,
12:50:00 A,Boys U15B: ROSE TREE OPTIMIST 7/8 (PA),,Boys U15B: EAGLES (PA),,Boys U15A: HAVEN A1 (PA),,Boys U15A: SPRING-FORD A BLUE (PA),,No game,
13:40:00 H,Girls U11A: BYC - 4TH GRADE (PA),,Girls U11A: FILIA: HURRICANES (PA),,Girls U11A: JUNIOR HAWKS (NJ),,Girls U13A: QUIX STIX 5/6 GRADE A (PA),,Girls U13A: HENLOPEN STORM (DE),
13:40:00 A,Girls U11A: HENLOPEN STORM (DE),,Girls U11A: FILIA: CYCLONES (PA),,Girls U11A: BELLES (PA),,Girls U13A: SPRINGFIELD GOLD (PA),,Girls U13A: BYC (PA),
14:30:00 H,Boys U15B: EAGLES (PA),,Boys U15B: ROSE TREE OPTIMIST 7/8 (PA),,Boys U15A: SPRING-FORD A BLUE (PA),,Boys U15A: SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA),,No game,
14:30:00 A,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (PA),,Boys U15B: BYC U15B (PA),,Boys U15A: HAVEN A1 (PA),,Boys U15A: LBL STAGS (PA),,No game,
15:20:00 H,Girls U11A: BYC - 4TH GRADE (PA),,Girls U11A: HENLOPEN STORM (DE),,Girls U11A: BELLES (PA),,Girls U13A: QUIX STIX 5/6 GRADE A (PA),,Girls U13A: SPRINGFIELD GOLD (PA),
15:20:00 A,Girls U11A: FILIA: CYCLONES (PA),,Girls U11A: JUNIOR HAWKS (NJ),,Girls U11A: FILIA: HURRICANES (PA),,Girls U13A: BYC (PA),,Girls U13A: HENLOPEN STORM (DE),
16:10:00 H,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (PA),,Boys U15B: ROSE TREE OPTIMIST 7/8 (PA),,Boys U15A: SPRING-FORD A BLUE (PA),,Boys U15A: HAVEN A1 (PA),,No game,
16:10:00 A,Boys U15B: BYC U15B (PA),,Boys U15B: EAGLES (PA),,Boys U15A: SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA),,Boys U15A: LBL STAGS (PA),,No game,
